n,s1,s2,t,x,y
48,"(3,)","(15,)",4.002,107.59190509383893,211.8816045323561
48,"(3,)","(15,)",4.002,83.12421773897489,163.06342433619602
48,"(3,)","(22,)",4.002,195.613427564042,84.58005236837397
48,"(3,)","(23,)",4.002,223.41737111140475,165.8692636807212
48,"(3,)","(23,)",4.002,249.90833267506463,149.770700472691
48,"(4,)","(14,)",4.002,71.65057171355045,37.05226842890795
48,"(11,)","(17,)",4.002,125.59073698226211,474.58375581119583
48,"(11,)","(17,)",4.002,158.80620538695496,452.9617720636011
48,"(12,)","(2,)",4.002,261.76650981036795,225.19370060344164
48,"(12,)","(2,)",4.002,271.0130614855145,269.31636647648304
48,"(12,)","(2,)",4.002,270.90702509037334,269.26905875912064
48,"(12,)","(2,)",4.002,270.0554388446306,268.881627434561
48,"(12,)","(2,)",4.002,181.38934853352612,320.34450947078585
48,"(12,)","(2,)",4.002,127.98931964226429,354.43670987231087
48,"(12,)","(2,)",4.002,126.7354066463308,360.03649717307815
48,"(12,)","(2,)",4.002,241.65454539531368,350.13765339223306
48,"(12,)","(2,)",4.002,367.99382054091814,279.79125492690025
48,"(12,)","(2,)",4.002,411.8415143362598,254.7085083329403
48,"(12,)","(26,)",4.002,401.13514143206396,193.06617100770143
48,"(12,)","(26,)",4.002,420.81622276545977,316.03149635947887
48,"(12,)","(26,)",4.002,375.6771024771842,507.67314396760264
48,"(12,)","(26,)",4.002,437.85593343661174,467.8416122340591
48,"(12,)","(27,)",4.002,332.0524259440406,398.2632076468462
48,"(12,)","(27,)",4.002,305.43272477197416,403.7187301728324
48,"(12,)","(27,)",4.002,298.77228194192173,446.6320431094641
48,"(12,)","(27,)",4.002,334.1584856637402,409.48438357541636
48,"(12,)","(27,)",4.002,381.40328799027526,419.55200578134554
48,"(12,)","(27,)",4.002,399.9120784851643,437.352000544381
48,"(13,)","(17,)",4.002,195.2298661671656,470.0141223186837
48,"(13,)","(17,)",4.002,181.23675384453395,509.1192021440129
48,"(13,)","(17,)",4.002,186.54114991266476,596.4601647306821
48,"(17,)","(26,)",4.002,469.23573444206943,507.0021067770151
48,"(17,)","(26,)",4.002,462.2714015869925,531.9808848194407
48,"(19,)","(41,)",4.002,474.83715042606264,23.056097285358646
48,"(19,)","(41,)",4.002,476.17229456947405,49.72138843480229
48,"(20,)","(38,)",4.002,554.0278033319152,529.807710297467
48,"(20,)","(38,)",4.002,533.0421366833643,583.8415143362598
48,"(20,)","(38,)",4.002,536.6508581083664,11.742926560786259
48,"(20,)","(38,)",4.002,578.5430324761119,14.593294129044693
48,"(20,)","(38,)",4.002,20.15848566374018,8.85085140112119
48,"(20,)","(38,)",4.002,5.204662490986607,554.017690905893
48,"(21,)","(45,)",4.002,49.67644992874364,82.15381740659473
48,"(21,)","(45,)",4.002,506.4676759824082,110.52524088292881
48,"(21,)","(45,)",4.002,567.5576405791386,165.70623090153777
48,"(24,)","(38,)",4.002,27.79937464888644,331.9294697736764
48,"(24,)","(38,)",4.002,54.956423279457454,438.64589599479837
48,"(26,)","(38,)",4.002,41.514775257205656,313.8999068283778
48,"(26,)","(38,)",4.002,50.17716959027803,310.8415143362598
46,"(3,)","(16,)",4.022,107.57533834773147,211.86243424602668
46,"(3,)","(16,)",4.022,83.10577608535016,162.9423941150415
46,"(3,)","(27,)",4.022,195.60603907228875,84.5768696659579
46,"(3,)","(30,)",4.022,223.42855621179194,165.866704880055
46,"(3,)","(30,)",4.022,249.9665589277655,149.77139868090813
46,"(4,)","(13,)",4.022,71.64030105125639,37.055577882737566
46,"(11,)","(23,)",4.022,125.5944756491973,474.58550646649553
46,"(11,)","(23,)",4.022,158.8119963530405,452.96766268600345
46,"(12,)","(2,)",4.022,261.76372774001914,225.18709383750854
46,"(12,)","(2,)",4.022,270.00253876201106,268.84245711408454
46,"(12,)","(2,)",4.022,181.38698053380932,320.3385381909037
46,"(12,)","(2,)",4.022,127.98792527449518,354.4250953000436
46,"(12,)","(2,)",4.022,127.01756049241533,358.7772560757259
46,"(12,)","(2,)",4.022,241.66034660680327,350.1379374347033
46,"(12,)","(2,)",4.022,367.9967882669632,279.8028156402955
46,"(12,)","(2,)",4.022,411.8415143362598,254.78412005754126
46,"(12,)","(32,)",4.022,401.12553050187665,193.063972327876
46,"(12,)","(32,)",4.022,420.7988771458811,316.0189797415672
46,"(12,)","(32,)",4.022,375.6566984427794,507.6607513034045
46,"(12,)","(32,)",4.022,437.86772210495235,467.8416135823936
46,"(12,)","(35,)",4.022,332.0141635981943,398.21828578513754
46,"(12,)","(35,)",4.022,305.45230777188976,403.6988101704864
46,"(12,)","(35,)",4.022,298.7882208105931,446.6479819781355
46,"(12,)","(35,)",4.022,334.1584856637402,409.5726701716652
46,"(12,)","(35,)",4.022,381.049408406253,419.34761034207065
46,"(12,)","(35,)",4.022,399.901233069518,437.3565577321863
46,"(13,)","(23,)",4.022,195.18842195052179,470.08027946176674
46,"(13,)","(23,)",4.022,181.24002878460664,509.1048866352048
46,"(13,)","(23,)",4.022,186.5516221931777,596.4771240546687
46,"(17,)","(32,)",4.022,469.22693570865795,507.0033440222944
46,"(17,)","(32,)",4.022,462.01532254199446,532.3391414981411
46,"(19,)","(47,)",4.022,474.84438400908743,23.0439748897752
46,"(19,)","(47,)",4.022,476.1771063325633,49.7363414153308
46,"(20,)","(44,)",4.022,554.0267004035065,529.7920516833635
46,"(20,)","(44,)",4.022,533.0369589054436,583.8415143362598
46,"(20,)","(44,)",4.022,536.6439508300701,11.733329945846549
46,"(20,)","(44,)",4.022,578.1345028928692,14.561559581019083
46,"(20,)","(44,)",4.022,20.15848566374018,8.859177886141197
46,"(20,)","(44,)",4.022,5.226011987849461,554.0023831699095
46,"(21,)","(52,)",4.022,49.67474396551779,82.14402410962748
46,"(21,)","(52,)",4.022,506.4584387150435,110.53825146350036
46,"(21,)","(52,)",4.022,567.5319220024376,165.4445860634521
46,"(24,)","(44,)",4.022,27.810835338844186,331.92635091843016
46,"(24,)","(44,)",4.022,54.966348930109234,438.6694449063217
46,"(26,)","(44,)",4.022,41.49747115345292,313.9172109321306
46,"(26,)","(44,)",4.022,50.186071659746176,310.8415143362598
46,"(3,)","(16,)",4.042,107.55884162144804,211.84334498345817
46,"(3,)","(16,)",4.042,83.11167437369437,162.94647221485496
46,"(3,)","(26,)",4.042,195.5985899014654,84.57366082513241
46,"(3,)","(27,)",4.042,223.4397099516964,165.864153253685
46,"(3,)","(27,)",4.042,249.9597894890158,149.7750152600931
46,"(4,)","(13,)",4.042,71.62980673906276,37.05895940193125
46,"(11,)","(21,)",4.042,125.59831196994662,474.5870406890947
46,"(11,)","(21,)",4.042,158.81787878879845,452.9736463521733
46,"(12,)","(2,)",4.042,261.76093571894995,225.1804634409438
46,"(12,)","(2,)",4.042,269.3807801202057,268.5262491702007
46,"(12,)","(2,)",4.042,181.3846805429228,320.33273840587333
46,"(12,)","(2,)",4.042,127.98613912030459,354.413825830212
46,"(12,)","(2,)",4.042,127.01326134951253,358.7823037395354
46,"(12,)","(2,)",4.042,241.66626903315853,350.13822741216995
46,"(12,)","(2,)",4.042,368.0003659314313,279.81330851456147
46,"(12,)","(2,)",4.042,411.8415143362598,254.86040587439703
