s1,s2,t,x,y
"([0], [0], [3], [3], [3], [3], [3], [3], [3], [8], [8], [8])","([7], [7], [5], [7], [7], [9], [9], [9], [9], [15], [15], [15])",0.007,"(60.70914767886843, 104.11577249824042, 42.3899829818895, 169.24081784041496, 181.04859075899526, 199.2502325637672, 156.32980499819075, 145.63994792422417, 108.74023619878368, 199.77885892056432, 199.58952025281255, 199.69840060699858)","(23.624500303579886, 62.627830646097266, 154.11050453489952, 68.33846874915753, 23.22737462067608, 127.71869532875758, 199.25381212038658, 199.30159942193458, 199.24916556697636, 189.1700838662579, 181.5691218699049, 160.79788303253534)"
"([0], [0], [2], [2], [2], [2], [2], [2], [2], [2], [2], [3], [3], [3], [7], [8], [8], [8])","([8], [8], [3], [8], [8], [10], [10], [10], [10], [10], [10], [6], [6], [6], [10], [13], [13], [13])",0.707,"(60.50700583346365, 104.04660835419278, 42.35771432580512, 169.24552584433962, 181.8169217154527, 198.45559579465882, 199.24929503947894, 199.24933791957693, 99.21686517707155, 92.67102705818269, 80.58692314395975, 17.298172650611477, 71.75743226360035, 73.08889380767366, 3.249032191796971, 199.35941287008495, 2.352600970230867, 6.963040684362284)","(24.198130248836044, 62.503128634157505, 154.19964643178682, 68.34805763879454, 26.047623475514115, 106.19228769354, 112.5383341783844, 122.39152736752916, 199.24933791957693, 199.24909629570865, 197.68039715246485, 199.75066208042307, 199.7596400936053, 2.1863285839108357, 190.44570825177314, 2.655594941927461, 199.19202528210013, 199.75065857953336)"
"([0], [0], [2], [2], [2], [3], [3], [3], [3], [3], [3], [3], [3], [8])","([9], [9], [7], [7], [7], [3], [9], [9], [11], [11], [11], [11], [14], [11])",1.407,"(60.4245319709936, 103.78720050529694, 42.28082551367519, 52.43686870901137, 56.97213603996734, 42.31444094476822, 169.54071072587047, 183.20082671144297, 199.25149761541215, 95.2968776160092, 93.86273234846965, 87.61168015471583, 199.54753736361735, 4.213331241879644)","(24.395662699838788, 62.01603108974993, 199.75066208042307, 199.31833391185145, 199.06133148532388, 154.31149641160752, 68.14843050144047, 28.26232374832791, 118.66015530414788, 199.24933791957693, 199.24933791957693, 198.75520551852057, 7.18712690339385, 189.63849426961545)"
"([0], [0], [2], [3], [3], [3], [3], [3], [3], [7])","([10], [10], [7], [3], [10], [10], [10], [12], [12], [12])",2.107,"(60.29166334368264, 103.1902007028761, 57.66809894846527, 42.19895620764413, 169.750947524205, 184.2225458771773, 198.83540979185594, 199.2688391859949, 95.60808681916441, 4.216952910083563)","(24.694588436728317, 61.262928099987676, 198.97019300601318, 154.63612647013093, 68.0411381518347, 29.40789038382239, 12.123911735254378, 117.47435016676464, 199.22564360775925, 189.56516491846818)"
"([2], [2], [3], [3], [3], [3], [3], [4], [4], [7])","([7], [7], [2], [5], [7], [7], [7], [9], [9], [9])",2.807,"(60.13768332770002, 103.09644969167829, 42.2149995087751, 58.05336668894594, 169.7510874108237, 184.3114250889462, 198.7506983205647, 199.2764630653322, 96.71957201866145, 4.222784622030133)","(24.98997776889177, 61.16037929107429, 154.64406197132791, 198.81815551922716, 68.07607076843661, 29.482337523647885, 12.300231607810147, 117.15814859732956, 199.12582457344536, 189.4617659756633)"
"([2], [2], [3], [3], [3], [3], [3], [4], [4], [7])","([6], [6], [2], [4], [6], [6], [6], [8], [8], [8])",3.507,"(60.125679859835145, 102.21251638826294, 42.22422382737897, 58.270127385065734, 169.7512020899288, 185.14035522903902, 198.75061292740753, 199.26182170882936, 97.2992091243787, 4.100287888329575)","(24.989711619432647, 60.41670638443351, 154.66565402819919, 198.87011200169343, 68.1047085412964, 30.242479365811285, 12.478798030057327, 117.09936016370933, 199.0217099220379, 189.38678933484613)"
"([2], [2], [3], [3], [3], [3], [3], [4], [4], [7])","([6], [6], [2], [4], [6], [6], [6], [8], [8], [8])",4.207,"(59.790026180130596, 101.940152939407, 42.23534281870932, 58.448839590494146, 169.75139766067252, 185.63742099517435, 198.66152643560076, 199.129795139998, 97.89898701794185, 3.855573237422419)","(25.613531453412065, 60.22563504544033, 154.6707080899974, 198.8933746234445, 68.12723603646981, 30.641248274245882, 12.76303890310663, 117.33057820786716, 198.88440989783885, 189.1477600827166)"
"([2], [2], [3], [3], [3], [3], [3], [4], [4], [7])","([5], [5], [2], [3], [5], [5], [5], [7], [7], [7])",4.907,"(59.76279808499109, 101.13496579313085, 42.23583286860266, 58.61091248782144, 169.7542295839289, 186.06149341102673, 198.00763508854288, 199.2110594772845, 99.07048299803388, 3.578667093254296)","(25.617250075460028, 59.80216884239165, 154.73257094227657, 198.94052133176726, 68.14359159625819, 30.972619090461322, 12.81131413521084, 117.05973866139267, 198.5203897792934, 188.70533132772306)"
"([2], [2], [3], [3], [3], [3], [3], [5], [5], [8])","([5], [5], [2], [3], [5], [5], [5], [7], [7], [7])",5.607,"(59.409895221256235, 100.57699294115395, 42.245003578953266, 58.7098208777756, 169.75417313078654, 186.5757390470696, 197.79688897897802, 199.189223670546, 99.44223805608102, 3.320926102676026)","(26.125654118832102, 59.605406258060825, 154.73433691034077, 198.96928839971613, 68.15812732611808, 31.32919737197752, 12.843175742801954, 117.02904546093261, 198.34690176577027, 188.2252477726437)"
"([2], [2], [3], [3], [3], [3], [3], [5], [5], [5], [5], [8])","([4], [4], [1], [3], [4], [4], [4], [6], [6], [6], [6], [6])",6.307,"(59.33594847578232, 100.14285709872588, 42.250287940108926, 59.643529962927204, 169.79690495223016, 187.4771146357394, 197.7538831855607, 199.1688811160703, 118.86982380701562, 115.72158073723139, 99.84068585916786, 3.074712012413954)","(26.190400466251248, 59.47347843849754, 154.76482080379753, 199.85836766085595, 68.15688498205633, 31.92430032642192, 12.886471269386604, 117.0004535252625, 194.31761764316576, 195.58583547559786, 198.155385429515, 187.70642791350346)"
