n,s1,s2,t,x,y,frame,particle
2,"(1,)","(2,)",500.00300000000004,142.80893532277614,129.99359232574645,71429,0
2,"(1, 3)","(2, 3)",500.00300000000004,81.84014797749023,185.7409691897315,71429,1
2,"(1,)","(2,)",500.01,142.8089123515036,129.99367383133932,71430,0
2,"(1, 3)","(2, 3)",500.01,81.84013358151164,185.74096861013157,71430,1
2,"(1,)","(2,)",500.017,142.80888966467603,129.99375432767795,71431,0
2,"(1, 3)","(2, 3)",500.017,81.84011714914485,185.7409679485441,71431,1
2,"(1,)","(2,)",500.024,142.8088672620733,129.99383381554316,71432,0
2,"(1, 3)","(2, 3)",500.024,81.84009868281831,185.7409672050668,71432,1
2,"(1, 3)","(2, 3)",500.031,81.84007818496103,185.74096637979764,71433,1
2,"(1,)","(2,)",500.031,142.8088451434759,129.99391229571398,71433,0
2,"(1,)","(2,)",500.038,142.80882330866493,129.99398976896757,71434,0
2,"(1, 3)","(2, 3)",500.038,81.84005565800284,185.74096547283435,71434,1
2,"(1,)","(2,)",500.045,142.8088017574217,129.99406623607882,71435,0
2,"(1, 3)","(2, 3)",500.045,81.84003110437446,185.74096448427474,71435,1
2,"(1,)","(2,)",500.05199999999996,142.80878048952852,129.99414169782094,71436,0
2,"(1, 3)","(2, 3)",500.05199999999996,81.84000452650648,185.7409634142168,71436,1
2,"(1, 3)","(2, 3)",500.059,81.83997592683077,185.74096226275836,71437,1
2,"(1,)","(2,)",500.059,142.80875950476798,129.99421615496496,71437,0
2,"(1,)","(2,)",500.066,142.80873880292341,129.99428960827984,71438,0
2,"(1, 3)","(2, 3)",500.066,81.83994530777869,185.7409610299973,71438,1
2,"(1,)","(2,)",500.07300000000004,142.80871838377874,129.99436205853223,71439,0
2,"(1, 3)","(2, 3)",500.07300000000004,81.83991267178256,185.7409597160316,71439,1
2,"(1,)","(2,)",500.08,142.80869824711849,129.99443350648676,71440,0
2,"(1, 3)","(2, 3)",500.08,81.83987802127443,185.7409583209591,71440,1
2,"(1,)","(2,)",500.087,142.80867839272767,129.99450395290577,71441,0
2,"(1, 3)","(2, 3)",500.087,81.83984135868633,185.74095684487781,71441,1
2,"(1,)","(2,)",500.094,142.80868017074678,129.9945635019217,71442,0
2,"(1, 3)","(2, 3)",500.094,81.83980268645057,185.74095528788558,71442,1
2,"(1,)","(2,)",500.101,142.80866083205296,129.99463197243242,71443,0
2,"(1, 3)","(2, 3)",500.101,81.83976200699904,185.74095365008037,71443,1
2,"(1,)","(2,)",500.108,142.80864177568398,129.9946994433447,71444,0
2,"(1, 3)","(2, 3)",500.108,81.83971932276323,185.74095193156003,71444,1
2,"(1, 3)","(2, 3)",500.12199999999996,81.63849772119262,185.9050617815173,71445,1
2,"(1,)","(2,)",500.12199999999996,142.80860450906994,129.9948313893861,71445,2
2,"(1, 3)","(2, 3)",500.115,81.63848179100185,185.90505809345532,71445,3
2,"(1,)","(2,)",500.115,142.808623001427,129.99476591541224,71445,0
2,"(1,)","(2,)",500.129,142.80858629840122,129.99489586601507,71447,4
2,"(1, 3)","(2, 3)",500.129,81.63809923337239,185.9054019480493,71447,5
2,"(1,)","(2,)",500.13599999999997,142.80856836921015,129.99495934604528,71448,4
2,"(1, 3)","(2, 3)",500.13599999999997,81.63811188207256,185.9054048620153,71448,5
2,"(1,)","(2,)",500.14300000000003,143.15277929150218,129.84156623344907,71449,4
2,"(1, 3)","(2, 3)",500.14300000000003,81.63812282851589,185.9054073838211,71449,5
2,"(1,)","(2,)",500.15,143.15271982907853,129.84168683091144,71450,4
2,"(1, 3)","(2, 3)",500.15,81.63813207451679,185.9054095138844,71450,5
2,"(1,)","(2,)",500.157,143.1526609437976,129.8418062736092,71451,4
2,"(1, 3)","(2, 3)",500.157,81.63813962188969,185.90541125262345,71451,5
2,"(1,)","(2,)",500.164,143.152602620342,129.8419245688618,71452,4
2,"(1, 3)","(2, 3)",500.164,81.6381454724489,185.90541260045606,71452,5
2,"(1,)","(2,)",500.171,143.15254486313992,129.84204171560398,71453,4
2,"(1, 3)","(2, 3)",500.171,81.6381496280084,185.90541355780024,71453,5
2,"(1, 3)","(2, 3)",500.17800000000005,81.6381520903823,185.90541412507386,71454,5
2,"(1,)","(2,)",500.17800000000005,143.15248767168544,129.84215771486168,71454,4
2,"(1,)","(2,)",500.185,143.15243104053744,129.84227256974955,71455,4
2,"(1, 3)","(2, 3)",500.185,81.63815286138399,185.90541430269462,71455,5
2,"(1,)","(2,)",500.19199999999995,143.15237498400606,129.8423862750073,71455,6
2,"(1, 3)","(2, 3)",500.19199999999995,81.60365205602679,185.93366129048385,71455,7
2,"(1,)","(2,)",500.199,143.1523194867794,129.842498837927,71457,8
2,"(1, 3)","(2, 3)",500.199,81.60365832154983,185.93366306595817,71457,9
2,"(1, 3)","(2, 3)",500.20599999999996,81.30419753135544,186.16894043383832,71458,9
2,"(1,)","(2,)",500.20599999999996,143.15226455329702,129.84261025742563,71458,8
2,"(1,)","(2,)",500.213,143.15221018306298,129.842720534509,71459,8
2,"(1, 3)","(2, 3)",500.213,81.30426424802624,186.16897405474828,71459,9
2,"(1,)","(2,)",500.22,143.15215637558344,129.84282967017865,71460,8
2,"(1, 3)","(2, 3)",500.22,81.3043307165682,186.16900610413933,71460,9
2,"(1,)","(2,)",500.227,143.1521031303667,129.84293766543215,71461,8
2,"(1, 3)","(2, 3)",500.227,81.3043957816988,186.16903747684205,71461,9
2,"(1,)","(2,)",500.23400000000004,143.15205044198368,129.84304452335206,71462,8
2,"(1, 3)","(2, 3)",500.23400000000004,81.30445944468488,186.16906817346748,71462,9
2,"(1, 3)","(2, 3)",500.241,81.30452170679297,186.16909819462617,71463,9
2,"(1,)","(2,)",500.241,143.15199832476432,129.84315023865994,71463,8
2,"(1,)","(2,)",500.24800000000005,143.15194676340525,129.8432548186087,71464,8
2,"(1, 3)","(2, 3)",500.24800000000005,81.30458256928904,186.1691275409286,71464,9
2,"(1,)","(2,)",500.255,143.1518957623621,129.84335826208996,71465,8
2,"(1, 3)","(2, 3)",500.255,81.30464203343841,186.16915621298486,71465,9
2,"(1,)","(2,)",500.26199999999994,143.1518453211532,129.8434605700806,71465,10
2,"(1, 3)","(2, 3)",500.26199999999994,81.30470010050568,186.1691842114046,71465,11
2,"(1,)","(2,)",500.269,143.15179543929906,129.8435617435532,71467,12
2,"(1, 3)","(2, 3)",500.269,81.30475677175464,186.16921153679743,71467,13
2,"(1,)","(2,)",500.276,143.15174611632216,129.84366178347642,71468,12
2,"(1, 3)","(2, 3)",500.276,81.30481204844854,186.1692381897723,71468,13
2,"(1,)","(2,)",500.283,143.26934607436002,129.79409905286155,71469,12
2,"(1, 3)","(2, 3)",500.283,81.30486593184955,186.16926417093777,71469,13
2,"(1,)","(2,)",500.29,143.26925323584197,129.7942302065271,71470,12
2,"(1, 3)","(2, 3)",500.29,81.30491842321915,186.1692894809021,71470,13
2,"(1, 3)","(2, 3)",500.29699999999997,81.30496952381769,186.16931412027316,71471,13
2,"(1,)","(2,)",500.29699999999997,143.26916132379142,129.79436005136512,71471,12
2,"(1,)","(2,)",500.30400000000003,143.2690703372814,129.79448858868508,71472,12
2,"(1, 3)","(2, 3)",500.30400000000003,81.30501923490488,186.16933808965808,71472,13
2,"(1,)","(2,)",500.311,143.2689802753891,129.7946158197908,71473,12
2,"(1, 3)","(2, 3)",500.311,81.27916639893762,186.18949515352168,71473,13
2,"(1,)","(2,)",500.31800000000004,143.26889112823793,129.7947417497562,71474,12
2,"(1, 3)","(2, 3)",500.31800000000004,81.27922084396647,186.18951908180136,71474,13
2,"(1, 3)","(2, 3)",500.325,81.27927384779008,186.1895423766795,71475,13
2,"(1,)","(2,)",500.325,143.26880291282737,129.79486637232196,71475,12
2,"(1,)","(2,)",500.332,143.2687156192892,129.7949896925518,71476,12
2,"(1, 3)","(2, 3)",500.332,81.27932541174786,186.18956503874497,71476,13
2,"(1,)","(2,)",500.339,143.26862924671602,129.79511171172751,71477,12
2,"(1, 3)","(2, 3)",500.339,81.27937553717823,186.1895870685857,71477,13
2,"(1,)","(2,)",500.346,143.2685437942045,129.79523243112527,71478,12
2,"(1, 3)","(2, 3)",500.346,81.27942422541787,186.1896084667893,71478,13
2,"(1, 3)","(2, 3)",500.353,81.27947147780229,186.18962923394278,71479,13
2,"(1,)","(2,)",500.353,143.2684592608551,129.79535185201584,71479,12
2,"(1, 3)","(2, 3)",500.36,81.27951729566556,186.1896493706324,71480,13
2,"(1,)","(2,)",500.36,143.2683756457723,129.7954699756645,71480,12
2,"(1,)","(2,)",500.36699999999996,143.26829294806402,129.79558680333122,71481,12
2,"(1, 3)","(2, 3)",500.36699999999996,81.27956168034021,186.1896688774438,71481,13
2,"(1,)","(2,)",500.374,143.26821116684246,129.79570233627044,71482,12
2,"(1, 3)","(2, 3)",500.374,81.2796046331573,186.189687754962,71482,13
2,"(1,)","(2,)",500.381,143.26813030122338,129.7958165757312,71483,12
2,"(1, 3)","(2, 3)",500.381,81.2796461554464,186.18970600377116,71483,13
2,"(1,)","(2,)",500.38800000000003,143.26805035032626,129.7959295229575,71484,12
2,"(1, 3)","(2, 3)",500.38800000000003,81.27968624853509,186.1897236244551,71484,13
2,"(1,)","(2,)",500.395,143.26797131327447,129.7960411791876,71485,12
2,"(1, 3)","(2, 3)",500.395,81.27972491374963,186.18974061759636,71485,13
2,"(1,)","(2,)",500.402,143.26789318919504,129.79615154565494,71486,12
2,"(1, 3)","(2, 3)",500.402,81.27873616549763,186.19055817651557,71486,13
2,"(1,)","(2,)",500.409,143.26781597721867,129.7962606235875,71487,12
2,"(1, 3)","(2, 3)",500.409,81.27877209553856,186.1905741057187,71487,13
2,"(1, 3)","(2, 3)",500.416,81.27880660595228,186.19058940554518,71488,13
2,"(1,)","(2,)",500.416,143.26773967647978,129.79636841420808,71488,12
2,"(1,)","(2,)",500.423,143.26766428611634,129.7964749187345,71489,12
2,"(1, 3)","(2, 3)",500.423,81.27883969804971,186.1906040765761,71489,13
2,"(1,)","(2,)",500.43,143.26758980526998,129.79658013837948,71490,12
2,"(1, 3)","(2, 3)",500.43,80.91645625310335,186.4679050453759,71490,15
2,"(1,)","(2,)",500.43699999999995,143.26751623308581,129.79668407435057,71490,14
2,"(1, 3)","(2, 3)",500.43699999999995,80.91657218178902,186.4679615001376,71490,13
2,"(1, 3)","(2, 3)",500.444,80.91668656355701,186.46801720158382,71492,17
2,"(1,)","(2,)",500.444,143.2674435687125,129.79678672785045,71492,16
2,"(1,)","(2,)",500.45099999999996,143.26737181130227,129.79688810007693,71493,16
2,"(1, 3)","(2, 3)",500.45099999999996,80.91679939999312,186.4680721504868,71493,17
2,"(1,)","(2,)",500.458,143.26730096001057,129.79698819222295,71494,16
2,"(1, 3)","(2, 3)",500.458,80.91691069267836,186.4681263476165,71494,17
2,"(1,)","(2,)",500.465,143.26723101399654,129.79708700547658,71495,16
2,"(1, 3)","(2, 3)",500.465,80.91702044318906,186.4681797937406,71495,17
2,"(1,)","(2,)",500.472,143.26716197242237,129.7971845410213,71496,16
2,"(1, 3)","(2, 3)",500.472,80.91712865309658,186.46823248962434,71496,17
2,"(1, 3)","(2, 3)",500.47900000000004,80.91723532396702,186.46828443603027,71497,17
2,"(1,)","(2,)",500.47900000000004,143.26709383445376,129.79728080003565,71497,16
2,"(1, 3)","(2, 3)",500.486,80.91734045736115,186.46833563371845,71498,17
2,"(1,)","(2,)",500.486,143.26702659925957,129.79737578369395,71498,16
2,"(1,)","(2,)",500.49300000000005,143.2669602660119,129.79746949316566,71499,16
2,"(1, 3)","(2, 3)",500.49300000000005,80.91744405483405,186.46838608344638,71499,17
2,"(1,)","(2,)",500.5,143.26689483388597,129.797561929616,71500,16
2,"(1, 3)","(2, 3)",500.5,80.91754611793532,186.46843578596835,71500,17
2,"(1,)","(2,)",500.50699999999995,143.26683030206016,129.79765309420566,71500,18
2,"(1, 3)","(2, 3)",500.50699999999995,80.91764664820825,186.46848474203617,71500,19
2,"(1,)","(2,)",500.514,143.26676666971588,129.79774298809107,71502,20
2,"(1, 3)","(2, 3)",500.514,80.91774564719022,186.46853295239845,71502,22
2,"(1,)","(2,)",500.52099999999996,143.26670393603754,129.79783161242452,71502,21
2,"(1, 3)","(2, 3)",500.52099999999996,80.91784311209416,186.46858042087817,71502,23
2,"(1,)","(2,)",500.528,143.26664210021244,129.79791896835394,71504,24
2,"(1, 3)","(2, 3)",500.528,80.91793905308684,186.46862714205983,71504,25
2,"(1,)","(2,)",500.535,143.26658116143085,129.79800505702335,71505,24
2,"(1, 3)","(2, 3)",500.535,80.91803346736188,186.46867311976303,71505,25
2,"(1,)","(2,)",500.542,143.2665211188859,129.79808987957261,71506,24
2,"(1, 3)","(2, 3)",500.542,80.91812635643036,186.4687183547237,71506,25
2,"(1, 3)","(2, 3)",500.54900000000004,80.91821772179641,186.4687628476744,71507,25
2,"(1,)","(2,)",500.54900000000004,143.26646197177342,129.79817343713776,71507,24
2,"(1,)","(2,)",500.556,143.266403719292,129.79825573085094,71508,24
2,"(1, 3)","(2, 3)",500.556,80.91830756495709,186.4688065993441,71508,25
2,"(1,)","(2,)",500.56300000000005,143.26634636064287,129.79833676184066,71509,24
2,"(1, 3)","(2, 3)",500.56300000000005,80.91839588740241,186.46884961045853,71509,25
2,"(1,)","(2,)",500.57,143.27902341225098,129.79310502173055,71510,24
2,"(1, 3)","(2, 3)",500.57,80.91848269061519,186.4688918817395,71510,25
2,"(1, 3)","(2, 3)",500.577,80.91856797607045,186.46893341390563,71511,25
2,"(1,)","(2,)",500.577,143.27896192475097,129.79318752130942,71511,24
2,"(1,)","(2,)",500.584,143.27890139992806,129.79326872923625,71512,24
2,"(1, 3)","(2, 3)",500.584,80.91865174523616,186.46897420767158,71512,25
2,"(1,)","(2,)",500.591,143.27884183690225,129.79334864669175,71513,24
2,"(1, 3)","(2, 3)",500.591,80.9187339995726,186.4690142637485,71513,25
2,"(1,)","(2,)",500.598,143.27878323479612,129.79342727485314,71514,24
2,"(1, 3)","(2, 3)",500.598,80.91881474053234,186.46905358284386,71514,25
2,"(1, 3)","(2, 3)",500.605,80.9188939695602,186.4690921656612,71515,25
2,"(1,)","(2,)",500.605,143.27872559273487,129.79350461489426,71515,24
2,"(1, 3)","(2, 3)",500.61199999999997,80.91897168809321,186.4691300129004,71516,25
2,"(1,)","(2,)",500.61199999999997,143.27866890984632,129.79358066798534,71516,24
2,"(1,)","(2,)",500.619,143.27861318526044,129.79365543529357,71517,24
2,"(1, 3)","(2, 3)",500.619,80.91904789756045,186.46916712525726,71517,25
2,"(1,)","(2,)",500.626,143.27855841810987,129.79372891798286,71518,24
2,"(1, 3)","(2, 3)",500.626,80.91912259938317,186.46920350342387,71518,25
2,"(1,)","(2,)",500.63300000000004,143.27850460752933,129.7938011172141,71519,24
2,"(1, 3)","(2, 3)",500.63300000000004,80.9191957949746,186.4692391480886,71519,25
2,"(1,)","(2,)",500.64,143.278451752656,129.79387203414498,71520,24
2,"(1, 3)","(2, 3)",500.64,80.91926748574001,186.4692740599358,71520,25
2,"(1, 3)","(2, 3)",500.647,80.91933767307695,186.46930823964576,71521,25
2,"(1,)","(2,)",500.647,143.27839985262912,129.79394166993052,71521,24
2,"(1,)","(2,)",500.654,143.27834890659,129.79401002572268,71522,24
2,"(1, 3)","(2, 3)",500.654,80.91940635837447,186.46934168789528,71522,25
2,"(1,)","(2,)",500.661,143.2782989136821,129.7940771026708,71523,24
2,"(1, 3)","(2, 3)",500.661,80.91947354301395,186.46937440535683,71523,25
2,"(1,)","(2,)",500.668,143.27824987305087,129.79414290192148,71524,24
2,"(1, 3)","(2, 3)",500.668,80.9195392283685,186.4694063926992,71524,25
2,"(1, 3)","(2, 3)",500.675,80.91960341580325,186.46943765058705,71525,25
2,"(1,)","(2,)",500.675,143.27820178384354,129.79420742461878,71525,24
2,"(1,)","(2,)",500.68199999999996,143.27815464520938,129.7942706719043,71526,24
2,"(1, 3)","(2, 3)",500.68199999999996,80.91966610667521,186.4694681796813,71526,25
2,"(1,)","(2,)",500.689,143.27810845629938,129.79433264491706,71527,24
2,"(1, 3)","(2, 3)",500.689,80.91972730233306,186.4694979806388,71527,25
2,"(1,)","(2,)",500.69599999999997,143.27806321626628,129.79439334479392,71528,24
2,"(1, 3)","(2, 3)",500.69599999999997,80.9197870041177,186.4695270541124,71528,25
2,"(1,)","(2,)",500.70300000000003,143.27801892426444,129.79445277266942,71529,24
2,"(1, 3)","(2, 3)",500.70300000000003,80.9198452133617,186.4695554007512,71529,25
2,"(1,)","(2,)",500.71,143.27797557945,129.794510929676,71530,24
2,"(1, 3)","(2, 3)",500.71,80.91990193138976,186.4695830212001,71530,25
2,"(1,)","(2,)",500.717,143.27793318098043,129.79456781694384,71531,24
2,"(1, 3)","(2, 3)",500.717,80.91995715951852,186.46960991610032,71531,25
2,"(1,)","(2,)",500.724,143.27789172801494,129.7946234356012,71532,24
2,"(1, 3)","(2, 3)",500.724,80.92001089905644,186.46963608608917,71532,25
2,"(1, 3)","(2, 3)",500.731,80.92006315130452,186.4696615318002,71533,25
2,"(1,)","(2,)",500.731,143.27785121971397,129.7946777867745,71533,24
2,"(1,)","(2,)",500.73800000000006,143.27781165523953,129.79473087158814,71534,24
2,"(1, 3)","(2, 3)",500.73800000000006,80.92011391755564,186.4696862538629,71534,25
2,"(1,)","(2,)",500.745,143.27777303375484,129.79478269116484,71535,24
2,"(1, 3)","(2, 3)",500.745,80.9201631990951,186.46971025290324,71535,25
2,"(1,)","(2,)",500.75199999999995,143.27773535442446,129.7948332466255,71535,26
2,"(1, 3)","(2, 3)",500.75199999999995,80.92021099720051,186.46973352954342,71535,27
2,"(1,)","(2,)",500.759,143.27769861641409,129.79488253908954,71537,28
2,"(1, 3)","(2, 3)",500.759,80.92025731314213,186.4697560844019,71537,29
2,"(1,)","(2,)",500.76599999999996,143.27766281889083,129.79493056967456,71538,28
2,"(1, 3)","(2, 3)",500.76599999999996,80.92030214818274,186.4697779180937,71538,29
2,"(1,)","(2,)",500.773,143.27762796102252,129.79497733949697,71539,28
2,"(1, 3)","(2, 3)",500.773,80.92034550357782,186.4697990312304,71539,29
2,"(1,)","(2,)",500.78,143.27759404197838,129.79502284967148,71540,28
2,"(1, 3)","(2, 3)",500.78,80.68818869115509,186.63787913708128,71540,29
2,"(1, 3)","(2, 3)",500.787,80.68831289151206,186.63790672650563,71541,29
2,"(1,)","(2,)",500.787,143.27756106092855,129.7950671013116,71541,28
2,"(1,)","(2,)",500.79400000000004,143.27752901704417,129.79511009552937,71542,28
2,"(1, 3)","(2, 3)",500.79400000000004,80.68843510181794,186.63793387386718,71542,29
2,"(1,)","(2,)",500.801,143.27749790949724,129.7951518334358,71543,28
2,"(1, 3)","(2, 3)",500.801,80.68855532418048,186.63796057963398,71543,29
2,"(1,)","(2,)",500.80800000000005,143.27746773746068,129.79519231614051,71544,28
2,"(1, 3)","(2, 3)",500.80800000000005,80.68867356069734,186.6379868442721,71544,29
2,"(1, 3)","(2, 3)",500.815,80.68878981345709,186.63801266824547,71545,29
2,"(1,)","(2,)",500.815,143.27743850010833,129.79523154475223,71545,28
2,"(1,)","(2,)",500.82199999999995,143.27741019661454,129.7952695203784,71545,30
2,"(1, 3)","(2, 3)",500.82199999999995,80.68890408453883,186.6380380520161,71545,31
2,"(1,)","(2,)",500.829,143.27738282615474,129.79530624412558,71547,32
2,"(1, 3)","(2, 3)",500.829,80.68901637601306,186.63806299604363,71547,33
2,"(1,)","(2,)",500.836,143.27735638790492,129.79534171709943,71548,32
2,"(1, 3)","(2, 3)",500.836,80.68912668994136,186.63808750078618,71548,33
2,"(1,)","(2,)",500.843,143.76798484969106,129.59296785806168,71549,32
2,"(1, 3)","(2, 3)",500.843,80.68910260160742,186.63820776507404,71549,33
2,"(1, 3)","(2, 3)",500.85,80.6892090505495,186.638231370485,71550,33
2,"(1,)","(2,)",500.85,143.7679355606779,129.59306802604058,71550,32
2,"(1,)","(2,)",500.85699999999997,143.76788683539738,129.5931670483696,71551,32
2,"(1, 3)","(2, 3)",500.85699999999997,80.68931352720641,186.63825453853516,71551,33
2,"(1,)","(2,)",500.86400000000003,143.76783867341058,129.5932649259403,71552,32
2,"(1, 3)","(2, 3)",500.86400000000003,80.6894160336102,186.63827726967492,71552,33
2,"(1,)","(2,)",500.871,143.76779107427862,129.5933616596451,71553,32
2,"(1, 3)","(2, 3)",500.871,80.68951657178573,186.63829956435347,71553,33
2,"(1,)","(2,)",500.87800000000004,143.76774403756218,129.59345725037664,71554,32
2,"(1, 3)","(2, 3)",500.87800000000004,80.68961514375096,186.63832142301837,71554,33
2,"(1,)","(2,)",500.885,143.76769756282152,129.5935516990284,71555,32
2,"(1, 3)","(2, 3)",500.885,80.68971175151756,186.63834284611562,71555,33
2,"(1,)","(2,)",500.892,143.76765164961697,129.5936450064942,71556,32
2,"(1, 3)","(2, 3)",500.892,80.68113538982661,186.6446804726944,71556,33
2,"(1,)","(2,)",500.899,143.76760629750822,129.59373717366864,71557,32
2,"(1, 3)","(2, 3)",500.899,80.68123299502764,186.6446999744193,71557,33
2,"(1, 3)","(2, 3)",500.906,80.68132859080191,186.6447190746566,71558,33
2,"(1,)","(2,)",500.906,143.76756150605482,129.59382820144688,71558,32
2,"(1,)","(2,)",500.913,143.767517274816,129.59391809072474,71559,32
2,"(1, 3)","(2, 3)",500.913,80.68142217923696,186.64473777382315,71559,33
2,"(1,)","(2,)",500.92,143.76747360335048,129.59400684239887,71560,32
2,"(1, 3)","(2, 3)",500.92,80.68151376241511,186.6447560723352,71560,33
2,"(1,)","(2,)",500.92699999999996,143.76743049121694,129.5940944573664,71561,32
2,"(1, 3)","(2, 3)",500.92699999999996,80.68160334241382,186.64477397060776,71561,33
2,"(1,)","(2,)",500.934,143.76738793797335,129.5941809365253,71562,32
2,"(1, 3)","(2, 3)",500.934,80.68169092130573,186.64479146905504,71562,33
2,"(1,)","(2,)",500.941,143.76734594317762,129.5942662807744,71563,32
2,"(1, 3)","(2, 3)",500.941,80.68177650115945,186.64480856809024,71563,33
2,"(1,)","(2,)",500.94800000000004,143.76730450638712,129.59435049101302,71564,32
2,"(1, 3)","(2, 3)",500.94800000000004,80.68186008403934,186.64482526812583,71564,33
2,"(1,)","(2,)",500.955,143.7672743748789,129.5944291542798,71565,32
2,"(1, 3)","(2, 3)",500.955,80.68194167200629,186.6448415695736,71565,33
2,"(1, 3)","(2, 3)",500.962,80.68202126711721,186.64485747284454,71566,33
2,"(1,)","(2,)",500.962,143.7672340498373,129.59451110163656,71566,32
2,"(1, 3)","(2, 3)",500.969,80.68209887142629,186.64487297834907,71567,33
2,"(1,)","(2,)",500.969,143.76719428150184,129.59459191767164,71567,32
2,"(1,)","(2,)",500.976,143.7671550694283,129.59467160328762,71568,32
2,"(1, 3)","(2, 3)",500.976,80.68217448698448,186.644888086497,71568,33
2,"(1,)","(2,)",500.983,143.76711641317218,129.594750159388,71569,32
2,"(1, 3)","(2, 3)",500.983,80.68224811584001,186.64490279769748,71569,33
2,"(1,)","(2,)",500.99,143.7670783122884,129.59482758687713,71570,32
2,"(1, 3)","(2, 3)",500.99,80.68231976003847,186.64491711235948,71570,33
2,"(1,)","(2,)",500.99699999999996,143.76704076633163,129.59490388665992,71570,34
2,"(1, 3)","(2, 3)",500.99699999999996,80.6823894216235,186.64493103089097,71570,35
2,"(1, 3)","(2, 3)",501.004,80.68245710263615,186.6449445537,71572,37
