index,t,n,dn,rates
370,137.01000000002034,4,2.0,10.000000000006253
371,137.11000000002028,6,-2.0,10.000000000009095
372,137.2100000000202,4,2.0,0.05780346820814506
545,154.51000000000445,6,-2.0,0.032467532467562024
853,185.3099999999764,4,-2.0,0.012106537530277354
1679,267.9099999999013,2,2.0,0.08474576271194108
1797,279.7099999998906,4,-2.0,0.23809523809545463
1839,283.9099999998868,2,2.0,0.02386634844870906
2258,325.8099999998487,4,2.0,0.044843049327395156
2481,348.10999999982835,6,-2.0,0.03584229390684242
2760,376.00999999980314,4,-2.0,0.003800836183963929
5391,639.1099999995638,2,2.0,0.04132231404962436
5633,663.3099999995418,4,-2.0,0.011682242990664846
6489,748.9099999994638,2,2.0,0.05714285714290911
6664,766.4099999994479,4,2.0,0.05586592178775995
6843,784.3099999994317,6,-2.0,0.01196172248804914
7679,867.9099999993558,4,-2.0,0.008936550491518406
8798,979.809999999254,2,2.0,0.02777777777780313
9158,1015.8099999992212,4,-2.0,0.14705882352955044
9226,1022.6099999992148,2,2.0,0.044444444444484865
9451,1045.1099999991943,4,-2.0,0.03745318352063268
9718,1071.8099999991705,2,2.0,10.000000000031832
9719,1071.9099999991702,4,2.0,5.0000000000045475
9721,1072.10999999917,6,-2.0,0.07299270072999339
9858,1085.8099999991575,4,-2.0,0.0684931506849938
10004,1100.4099999991442,2,2.0,0.19607843137272735
10055,1105.5099999991396,4,-2.0,0.2702702702705161
10092,1109.2099999991362,2,-2.0,100.00000000009095
10093,1109.2199999991362,0,,
