index,t,n,dn,rates
3,130.0999999999969,6,2.0,0.10000000000000568
4,140.09999999999633,8,2.0,0.05000000000000284
6,160.0999999999952,10,2.0,0.05000000000000284
8,180.09999999999405,12,-2.0,0.05000000000000298
10,200.09999999999286,10,-2.0,0.10000000000000454
11,210.0999999999924,8,-2.0,0.00833333333333235
23,330.10000000000656,6,-2.0,0.016666666666662878
29,390.1000000000202,4,2.0,0.012499999999997156
37,470.1000000000384,6,4.0,0.049999999999988776
39,490.1000000000429,10,2.0,0.03333333333332576
42,520.1000000000497,12,-2.0,0.09999999999997726
43,530.100000000052,10,-2.0,0.09999999999997612
44,540.1000000000544,8,-2.0,0.049999999999988914
46,560.1000000000588,6,1.0,0.09999999999997726
47,570.1000000000611,7,-1.0,0.007692307692305944
60,700.1000000000906,6,2.0,0.009999999999997726
70,800.1000000001134,8,-4.0,0.09999999999997726
71,810.1000000001156,4,-2.0,0.0333333333333255
74,840.1000000001227,2,2.0,0.024999999999994388
78,880.1000000001317,4,-2.0,0.024999999999994388
82,920.1000000001407,2,2.0,0.016666666666662847
88,980.1000000001544,4,-2.0,0.012500000000003605
96,1060.1000000001313,2,2.0,0.10000000000009096
97,1070.1000000001222,4,2.0,0.012500000000011368
105,1150.1000000000495,6,1.0,0.10000000000009096
106,1160.1000000000404,7,-1.0,0.007692307692314702
119,1290.099999999922,6,-2.0,0.014285714285727232
126,1360.0999999998585,4,-2.0,0.007692307692314687
139,1490.0999999997402,2,2.0,0.016666666666681887
145,1550.0999999996855,4,2.0,0.014285714285727278
152,1620.0999999996218,6,-2.0,0.10000000000008186
153,1630.0999999996136,4,-2.0,0.10000000000009776
154,1640.0999999996038,2,2.0,0.033333333333363906
157,1670.0999999995763,4,2.0,0.05000000000004489
159,1690.0999999995583,6,-2.0,0.10000000000009096
160,1700.0999999995493,4,-2.0,0.0062500000000056755
176,1860.099999999404,2,2.0,0.011111111111121274
185,1950.0999999993217,4,2.0,0.0200000000000181
190,2000.0999999992764,6,-2.0,0.05000000000004489
192,2020.0999999992584,4,1.0,0.10000000000009776
193,2030.0999999992487,5,-1.0,0.011111111111121159
202,2120.0999999991673,4,-2.0,0.006250000000005684
218,2280.0999999990217,2,2.0,0.025000000000023018
222,2320.099999998985,4,-2.0,0.02000000000001801
227,2370.09999999894,2,2.0,0.00588235294118182
244,2540.0999999987853,4,-2.0,0.004000000000003639
269,2790.099999998558,2,2.0,0.033333333333364155
272,2820.09999999853,4,2.0,0.10000000000009096
273,2830.099999998521,6,2.0,0.050000000000044335
275,2850.0999999985033,8,-2.0,0.050000000000045466
277,2870.099999998485,6,-2.0,0.016666666666681824
283,2930.0999999984306,4,2.0,0.025000000000022737
287,2970.099999998394,6,-2.0,0.011111111111121216
296,3060.0999999983123,4,2.0,0.10000000000009096
297,3070.0999999983032,6,2.0,0.025000000000022445
301,3110.0999999982673,8,-2.0,0.025000000000023018
305,3150.0999999982305,6,2.0,0.0166666666666817
311,3210.0999999981764,8,-4.0,0.033333333333364155
314,3240.0999999981486,4,-2.0,0.050000000000045466
316,3260.0999999981304,2,-2.0,10.000000000009095
317,3260.1999999981304,0,,
32,420.100000000027,4,1.0,0.09999999999997726
33,430.1000000000293,5,-1.0,0.049999999999988914
35,450.10000000003373,4,1.0,0.09999999999997668
36,460.10000000003606,5,-1.0,0.03333333333332576
39,490.1000000000429,4,2.0,0.09999999999997726
40,500.10000000004516,6,2.0,0.009999999999997726
50,600.1000000000679,8,1.0,0.09999999999997612
51,610.1000000000703,9,-1.0,0.049999999999988914
53,630.1000000000747,8,-2.0,0.016666666666662878
59,690.1000000000884,6,1.0,0.09999999999997726
60,700.1000000000906,7,-1.0,0.09999999999997726
61,710.1000000000929,6,2.0,0.09999999999997726
62,720.1000000000952,8,1.0,0.09999999999997726
63,730.1000000000975,9,-1.0,0.049999999999988914
65,750.1000000001019,8,-4.0,0.01999999999999541
70,800.1000000001134,4,-2.0,0.006666666666665146
85,950.1000000001476,2,2.0,0.049999999999988914
87,970.100000000152,4,-2.0,0.01999999999999545
92,1020.1000000001634,2,2.0,0.02500000000002004
96,1060.1000000001313,4,-2.0,0.025000000000022737
100,1100.100000000095,2,2.0,0.033333333333363906
103,1130.1000000000674,4,-2.0,0.014285714285727232
110,1200.100000000004,2,2.0,0.010000000000009095
120,1300.099999999913,4,-2.0,0.003333333333336365
150,1600.0999999996402,2,2.0,0.050000000000046035
152,1620.0999999996218,4,2.0,0.05000000000004489
154,1640.0999999996038,6,-2.0,0.010000000000009118
164,1740.0999999995126,4,-2.0,0.007142857142863639
178,1880.0999999993853,2,2.0,0.05000000000004489
180,1900.0999999993674,4,2.0,0.02000000000001828
185,1950.0999999993217,6,-2.0,0.10000000000008867
186,1960.0999999993128,4,-2.0,0.0200000000000181
191,2010.0999999992675,2,2.0,0.0200000000000181
196,2060.0999999992223,4,-2.0,0.016666666666681953
202,2120.0999999991673,2,2.0,0.02000000000001819
207,2170.099999999122,4,1.0,0.10000000000009096
208,2180.0999999991127,5,-1.0,0.00666666666667273
223,2330.0999999989763,4,2.0,0.02000000000001819
228,2380.099999998931,6,-2.0,0.025000000000022737
232,2420.0999999988944,4,-2.0,0.033333333333364155
235,2450.0999999988667,2,2.0,0.025000000000022445
239,2490.0999999988308,4,-2.0,0.1000000000000955
240,2500.099999998821,2,2.0,0.033333333333363135
243,2530.0999999987944,4,2.0,0.03333333333336365
246,2560.099999998767,6,2.0,0.050000000000045466
248,2580.099999998749,8,2.0,0.10000000000009096
249,2590.09999999874,10,-2.0,0.050000000000045466
251,2610.0999999987216,8,-2.0,0.10000000000009096
252,2620.0999999987125,6,-2.0,0.006250000000005684
268,2780.099999998567,4,4.0,0.050000000000044335
270,2800.0999999985493,8,-2.0,0.05000000000004775
272,2820.09999999853,6,-2.0,0.033333333333363135
275,2850.0999999985033,4,-2.0,0.004347826086960476
298,3080.099999998294,2,4.0,0.050000000000045466
300,3100.099999998276,6,2.0,0.025000000000022737
304,3140.0999999982396,8,-4.0,0.025000000000022737
308,3180.099999998203,4,-2.0,0.10000000000009096
309,3190.099999998194,2,2.0,0.006250000000005684
325,3350.0999999980486,4,2.0,0.03333333333336365
328,3380.0999999980213,6,1.0,0.10000000000009096
329,3390.099999998012,7,-3.0,0.033333333333363135
332,3420.0999999979854,4,-2.0,0.004761904761909114
353,3630.0999999977935,2,1.0,0.1000000000000864
354,3640.099999997785,3,-1.0,0.0041666666666704474
378,3880.099999997567,2,2.0,0.008333333333340943
390,4000.0999999974574,4,2.0,0.03333333333336466
393,4030.099999997429,6,-2.0,0.009999999999993542
403,4130.099999997494,4,2.0,0.0999999999996362
404,4140.09999999753,6,2.0,0.02499999999990905
408,4180.099999997676,8,-2.0,0.0999999999996362
409,4190.099999997712,6,-2.0,0.004545454545438028
431,4410.0999999985115,4,2.0,0.04999999999981583
433,4430.099999998585,6,2.0,0.02499999999990905
437,4470.099999998731,8,-2.0,0.0999999999996362
438,4480.099999998767,6,-2.0,0.009090909090876018
449,4590.099999999167,4,1.0,0.09999999999962712
450,4600.099999999205,5,-1.0,0.004347826086940738
473,4830.10000000004,4,2.0,0.00999999999996353
483,4930.100000000404,6,1.0,0.09999999999962712
484,4940.1000000004415,7,-1.0,0.04999999999982265
486,4960.100000000512,6,-2.0,0.09999999999962712
487,4970.10000000055,4,-2.0,0.0999999999996362
488,4980.100000000586,2,2.0,0.007692307692279708
501,5110.100000001059,4,-2.0,0.00370370370369023
528,5380.100000002041,2,2.0,0.004761904761887439
549,5590.100000002805,4,2.0,0.0999999999996362
550,5600.100000002842,6,-2.0,0.0999999999996362
551,5610.100000002878,4,2.0,0.0499999999998181
553,5630.100000002951,6,-2.0,0.019999999999926882
558,5680.100000003134,4,-2.0,0.006666666666642454
573,5830.100000003678,2,-2.0,9.99999999996362
574,5830.20000000368,0,,
6,160.0999999999952,4,2.0,0.012500000000000715
14,240.09999999999062,6,-2.0,0.014285714285711971
21,310.10000000000196,4,2.0,0.033333333333325686
24,340.10000000000883,6,2.0,0.033333333333325686
27,370.1000000000157,8,-2.0,0.09999999999997954
28,380.10000000001776,6,1.0,0.09999999999997557
29,390.1000000000202,7,-1.0,0.024999999999994315
33,430.1000000000293,6,2.0,0.01999999999999543
38,480.10000000004067,8,-2.0,0.03333333333332576
41,510.10000000004754,6,2.0,0.019999999999995497
46,560.1000000000588,8,-2.0,0.09999999999997726
47,570.1000000000611,6,-2.0,0.024999999999994246
51,610.1000000000703,4,3.0,0.0999999999999784
52,620.1000000000724,7,-1.0,0.04999999999998863
54,640.100000000077,6,2.0,0.09999999999997726
55,650.1000000000793,8,-2.0,0.01999999999999545
60,700.1000000000906,6,-2.0,0.012499999999997156
68,780.1000000001088,4,2.0,0.09999999999997726
69,790.1000000001111,6,2.0,0.09999999999997726
70,800.1000000001134,8,-2.0,0.03333333333332576
73,830.1000000001202,6,-2.0,0.049999999999988345
75,850.1000000001249,4,2.0,0.03333333333332576
78,880.1000000001317,6,-2.0,0.0999999999999784
79,890.1000000001338,4,-2.0,0.004545454545455532
101,1110.100000000086,2,2.0,0.014285714285727325
108,1180.1000000000222,4,-2.0,0.02000000000001819
113,1230.0999999999767,2,2.0,0.025000000000022598
117,1270.0999999999406,4,-2.0,0.10000000000009322
118,1280.0999999999312,2,-2.0,10.000000000009095
119,1280.1999999999312,0,,
1,110.09999999999802,8,-2.0,0.10000000000000568
2,120.09999999999745,6,-2.0,0.03333333333333521
5,150.09999999999576,4,-2.0,0.014285714285715113
12,220.0999999999917,2,2.0,0.014285714285713109
19,290.09999999999746,4,-2.0,0.004545454545453511
41,510.10000000004754,2,2.0,0.024999999999994388
45,550.1000000000565,4,-2.0,0.009090909090907023
56,660.1000000000815,2,2.0,0.09999999999997726
57,670.1000000000838,4,2.0,0.01999999999999545
62,720.1000000000952,6,-2.0,0.09999999999997726
63,730.1000000000975,4,2.0,0.049999999999988914
65,750.1000000001019,6,2.0,0.024999999999994246
69,790.1000000001111,8,2.0,0.01999999999999536
74,840.1000000001227,10,-2.0,0.033333333333326005
77,870.1000000001293,8,-2.0,0.01249999999999714
85,950.1000000001476,6,2.0,0.016666666666662878
91,1010.1000000001612,8,-2.0,0.011111111111119294
