index,t,n,dn,rates
6,160.0999999999952,4,-2.0,0.004347826086956049
29,390.1000000000202,2,-2.0,9.999999999997726
30,390.2000000000202,0,,
3,130.0999999999969,6,-2.0,0.01428571428571511
10,200.09999999999286,4,-2.0,0.016666666666667284
16,260.09999999999064,2,2.0,0.04999999999998863
18,280.0999999999952,4,1.0,0.09999999999997726
19,290.09999999999746,5,-1.0,0.01999999999999545
24,340.10000000000883,4,2.0,0.024999999999994426
28,380.10000000001776,6,-4.0,0.0047619047619036755
49,590.1000000000656,2,2.0,0.024999999999994315
53,630.1000000000747,4,2.0,0.03333333333332576
56,660.1000000000815,6,-2.0,0.01249999999999714
64,740.1000000000998,4,-2.0,0.004999999999998863
84,940.1000000001453,2,2.0,0.019999999999995497
89,990.1000000001566,4,-2.0,0.005263157894740565
108,1180.1000000000222,2,1.0,0.10000000000009322
109,1190.1000000000129,3,-1.0,0.10000000000008867
110,1200.100000000004,2,2.0,0.050000000000045466
112,1220.0999999999858,4,2.0,0.03333333333336365
115,1250.0999999999585,6,2.0,0.05000000000004489
117,1270.0999999999406,8,-6.0,0.003703703703707075
144,1540.0999999996948,2,-2.0,10.000000000009095
145,1540.199999999695,0,,
1,110.09999999999802,10,2.0,0.03333333333333521
4,140.09999999999633,12,2.0,0.10000000000000568
5,150.09999999999576,14,-2.0,0.10000000000000568
6,160.0999999999952,12,-2.0,0.10000000000000568
7,170.09999999999462,10,-2.0,0.05000000000000284
9,190.09999999999349,8,-2.0,0.02500000000000144
13,230.09999999999118,6,-2.0,0.00526315789473585
32,420.100000000027,4,2.0,0.049999999999988345
34,440.1000000000317,6,-2.0,0.00526315789473565
53,630.1000000000747,4,2.0,0.04999999999998863
55,650.1000000000793,6,-2.0,0.012499999999997156
63,730.1000000000975,4,-2.0,0.09999999999997612
64,740.1000000000998,2,-2.0,9.999999999997726
65,740.2000000001,0,,
5,150.09999999999576,4,-2.0,0.0034482758620685387
34,440.1000000000317,2,2.0,0.016666666666662926
40,500.10000000004516,4,-2.0,0.016666666666662878
46,560.1000000000588,2,2.0,0.049999999999988914
48,580.1000000000632,4,-2.0,0.09999999999997612
49,590.1000000000656,2,2.0,0.003999999999999087
74,840.1000000001227,4,2.0,0.009999999999997738
84,940.1000000001453,6,-2.0,0.03333333333332588
87,970.100000000152,4,3.0,0.09999999999997612
88,980.1000000001544,7,-1.0,0.03333333333332576
91,1010.1000000001612,6,-2.0,0.0999999999999784
92,1020.1000000001634,4,2.0,0.10000000000004776
93,1030.1000000001586,6,2.0,0.10000000000008867
94,1040.1000000001497,8,-2.0,0.10000000000009322
95,1050.1000000001404,6,2.0,0.10000000000009096
96,1060.1000000001313,8,-4.0,0.005000000000004548
116,1260.0999999999494,4,-2.0,0.008333333333340912
128,1380.0999999998403,2,2.0,0.03333333333336365
131,1410.099999999813,4,-2.0,0.012500000000011368
139,1490.0999999997402,2,2.0,0.050000000000045466
141,1510.099999999722,4,2.0,0.02000000000001819
146,1560.0999999996766,6,-2.0,0.10000000000009322
147,1570.0999999996673,4,2.0,0.05000000000004489
