s,t,x,y
"[(1, 0), (4, 4), (5, 5), (6, 6), (6, 13)]",0.1,"[[26.710746146022526, 28.28317209576896], [208.3931837412064, 208.90889997519488, 209.10046362907164, 209.06653152245696, 208.90889997519488, 202.04492109541312, 200.9808352623482, 198.3182310577685, 197.23612889999086, 113.00070323936714, 112.92965878756944, 112.94078280878084, 113.00070323936714, 143.8853395465214, 144.89262697448729, 149.87260814017915, 150.4049328013569, 153.96420219772537, 154.07812970475035, 156.95300655568224, 157.08165838299337, 161.91296044304346, 162.11001370833912, 169.72707827147187, 170.22666053548008, 171.98761553678256, 172.00940662973167, 176.9785018236443, 177.01280568491038, 179.758795436794, 180.12409882543665, 182.80068964174896, 183.08892099075948, 194.591093092776, 195.09524961762918, 200.4275387976699, 201.08792001630093, 210.47123783105957, 220.53029300336567, 229.91849173955657, 230.5311433442908, 235.87941043501877, 236.53588668441571, 240.9218054321465, 241.26714111368665, 244.89140297614807, 245.30497727425853, 251.99927494041714, 252.00145056267098, 259.95956841005403, 260.0568758710375, 275.8386708459149, 276.1148140850879, 287.5716814810457, 288.1489240881743, 291.9285481427787, 292.0174592789336, 298.9893544583371, 306.2267740613475, 311.9886341742111, 312.35713965470524, 317.98717978179, 318.2119885598192, 319.98048916049254, 320.27728666888095, 321.9948620108005, 322.0548227550571, 324.99620981174127, 325.0292266759536, 330.9745029615477, 331.19544183365304, 333.99674985044174, 334.01370093099854, 337.9735793942715, 338.08376788782545, 342.90889997519486, 343.1089889049145, 343.04258320821305, 342.90889997519486, 342.02534073177753, 341.966763523551, 340.14657258880766, 339.9357305563207, 339.0932739999811, 338.96929945156467, 338.9883694364842, 339.01616998457445, 339.98732572915407, 340.007074213947, 340.90889997519486, 341.087199382982, 341.07105769662127, 340.90889997519486, 337.0678125258296, 336.9707754332388, 336.0014867336723, 335.9985942887629, 332.06272639940744, 331.987950232512, 330.0609278348765, 329.9903914664674, 322.11675250825385, 321.98918420578866, 319.00058131349317, 318.99921822539295, 317.122586752163, 316.9921380140111, 312.1463635638868, 311.9939820126977, 308.14901609496195, 307.9959690098295, 112.00070323936714, 111.99253472308894, 130.60356802645845, 133.4781776875474, 138.89320598833092, 139.27659148783366, 141.77684049702134, 142.3821026857272, 146.99026325202422, 147.01003797303312, 157.41643281610297, 158.19894847116078, 161.97344305595377, 163.17324473132908, 175.83634611467727, 176.90246871548567, 180.90789117475012, 181.23310342421095, 183.83211297935287, 184.28826748967174, 191.58940753613825, 192.2308776307102, 195.10076475536255, 197.23981780116335, 198.9769560740991, 200.08485953031868, 205.9609698348932, 206.09630334199085, 206.90889997519488, 206.90889997519488, 206.40451979509078], [406.5154535520859, 407.21456342066267, 410.65072565529584, 417.2481898645545, 422.99813972782823, 423.0417694090991, 426.9927986713213, 427.19671276398134, 435.98882013938425, 436.19534024810105, 443.98216449166154, 444.22775836473096, 453.99489142354327, 454.03629483954865, 460.9916521587194, 461.06378121002376, 463.97872583266775, 464.1271167181149, 464.92532514757136, 465.394325063239, 465.90599039704665, 466.4859335690467, 466.9049526660208, 467.436504040307, 467.91326092394667, 468.2802763005964, 468.90889997519486, 469.4203069589484, 469.9575234973246, 470.1023627684692, 470.9657200154882, 471.07469542677404, 489.88274741067846, 490.00070323936717, 490.7959341853277, 491.00070323936717, 491.84393973813593, 492.00070323936717], [490.00070323936717, 489.9097022880079, 489.00070323936717, 488.7708245937097, 488.00070323936717, 487.93261701770905, 469.1113051792954, 468.9419136467506, 468.2290054466302, 467.90889997519486, 467.27929171251594, 466.90889997519486, 466.2325037086708, 465.9174324882259, 465.4696470888782, 464.90889997519486, 464.14511545741425, 463.9627255699604, 463.12729915399825, 462.97210185176493, 461.33235932144237, 460.9459520132027, 459.1107650052628, 458.9849690236737, 449.01529142026646, 448.9977362726237, 445.0253592266592, 444.99714437843033, 440.1881818067847, 439.987002317798, 434.25688128183, 433.98562068682304, 429.3206778629769, 428.9862465852698, 426.266973026448, 425.99005077361596, 418.01535361346373, 417.9989699380885], [483.17790831394865, 482.90889997519486, 482.257333879724, 481.90889997519486, 481.10201072065036, 480.90889997519486]]","[[15.004693238532733, 13.717601031849638], [189.442810125638, 193.0668246747773, 195.11378292158176, 199.9252684990166, 201.38823224758943, 216.9543057769683, 218.185635331596, 220.82990022971063, 221.76309797239057, 168.11717747211065, 166.90442997647415, 159.13355877294075, 158.06847459283995, 97.00232138040744, 96.10814615313132, 92.00249433705696, 91.5958403262617, 89.00125002822857, 88.92264342286825, 87.00140212146046, 86.91911474462523, 84.00194614945566, 83.89075941927949, 80.00441919575236, 79.77724666234631, 79.00093195710832, 78.99156722685916, 77.00105165778162, 76.98821406539493, 76.00399437970938, 75.87842359409437, 75.00343325357493, 74.91312646104804, 72.00624056550377, 71.90688328268662, 71.0084311928109, 70.9141139204462, 70.01415759800517, 70.01415759800517, 70.92149901806603, 71.00791147530462, 71.88345899819578, 72.00797466622679, 72.92472442042796, 73.00439442951784, 73.89513200932602, 74.00489848400566, 76.00012982638368, 76.00085489187492, 78.96148123924324, 79.00159326952736, 86.84165564527218, 87.00389468093759, 94.57822312088378, 95.00480350994535, 97.93033559403953, 98.00130075353006, 104.00351205634229, 111.24093165935267, 117.90392005762935, 118.3628085689872, 125.89073985931066, 126.21569765804837, 128.83010717565566, 129.28187741586692, 131.96035882900622, 132.05640981578213, 136.9725730591113, 137.03046814089268, 148.7262083822816, 149.2205416026707, 155.97247578705569, 156.01625874480015, 167.71598472731011, 168.0950163495761, 193.7499383100546, 196.12336561698973, 219.95185943244337, 221.50286778614608, 228.97100456050282, 229.35989373874534, 238.8363951593293, 239.703190981893, 242.89557507540988, 243.33184044015343, 281.8797067348941, 282.01903404366436, 287.86815316006505, 288.00881009302276, 297.3377970747006, 301.09887346499215, 311.92024287614163, 315.24953264489295, 340.9238461410563, 341.3155126286386, 344.9974907703093, 345.0077709828571, 356.9294935051135, 357.12551915497744, 361.93149053543544, 362.09851339428, 377.8824743641276, 378.1016844593458, 382.99864555888826, 383.0007896929642, 385.87664012021844, 386.0719831230619, 392.85286330849465, 393.05344122021285, 397.8502107774195, 398.03346142952876, 358.0733521478384, 357.98290336060467, 302.3972051011602, 299.5225954400712, 295.00221451449005, 294.72418163978494, 293.00379534420796, 292.6186704418914, 290.00089598779397, 289.9909444078939, 286.0085799450432, 285.8045845610518, 285.01415759800517, 284.8299412514728, 284.84154208623846, 285.01285828325126, 285.9111808953564, 286.00394097837807, 286.83742173883047, 287.0046758757445, 290.5957130289285, 291.0069870851434, 293.1149223533677, 295.0073142665401, 296.800564504, 298.09901712832385, 309.5764001104122, 310.10910661964857, 316.20423720057425, 318.2393011587345, 323.54998431136596], [10.522744262112434, 11.006552408333432, 13.664883253301026, 20.262347462559653, 26.99006261447249, 27.04318022480877, 31.94166014552811, 32.200215609891714, 43.90560533721911, 44.198824562434645, 55.845289595982344, 56.231680385341726, 72.960625377276, 73.03763173814936, 86.91604563555077, 87.07255065472684, 93.77295449210342, 94.1437418858067, 96.18182248283777, 97.44409300980531, 98.85459719010365, 100.54706403668098, 101.80273777977514, 103.49150359185737, 105.04827459410492, 106.31589838312014, 108.54891172790052, 110.47329753025657, 112.53825002960646, 113.1159176178332, 116.62898340207722, 117.08481859967812, 115.25682790450246, 114.27093129029153, 108.44122210609292, 107.0918560313256, 102.33925670224816, 101.53565739208777], [412.3159914887644, 411.8795229266933, 407.11519938272244, 405.70619425075733, 400.441812330642, 399.90812204607386, 391.8755542136544, 392.63479153162575, 395.74486610170084, 397.1102154586397, 399.68903090867514, 401.17035776501524, 403.74098181773473, 404.9056104374761, 406.47767043090954, 408.3955720836977, 410.83801308046895, 411.40456295536694, 413.85779535546425, 414.3008393355596, 418.6301074603811, 419.59011774779, 423.8761539941481, 424.1584983015676, 443.98393545211496, 444.01569112672047, 450.97386764572224, 451.02164278206055, 458.8110450655967, 459.12362393004355, 467.74234559055145, 468.1375166011702, 474.67854900940455, 475.1312230239144, 478.7322538459334, 479.09297088672537, 488.9838732589177, 489.003286288602], [244.80160163805607, 249.79726870994412, 257.7134117174461, 261.1841312466401, 269.88587428581286, 272.71708410713757]]"
"[(1, 0), (4, 4), (5, 5), (6, 6), (6, 13)]",0.2,"[[26.71780812216217, 28.25845170549755], [208.3809801190319, 208.96631793771445, 209.00597145154663, 202.0283151484541, 201.9985072866346, 113.00070323936714, 112.99371366404071, 149.8757043058581, 150.3954700035916, 153.96775017857885, 154.07055345530523, 156.95672342328774, 157.07537914891708, 161.9169827196085, 162.10517311319893, 171.99263214144878, 172.00567140300188, 176.98398871592872, 177.00959427228997, 182.8070896869456, 183.08629243790418, 194.60171147965542, 195.09302316163254, 200.44274737266997, 201.08581249443276, 210.51216693857648, 213.09014455905577, 217.90764876768833, 220.48964425999347, 229.9204620889854, 230.51699858312782, 240.92393860878263, 241.2591634108576, 259.9627111328942, 260.05231943575006, 275.84292385569427, 276.1115502838444, 291.93967679349447, 292.01470490953767, 299.02941953614163, 300.0569764630559, 304.990617241125, 306.1963414892525, 311.9889633944364, 312.34647638445136, 317.9875356981088, 318.2061048857007, 321.9952587163169, 322.0499047104852, 324.9966603855374, 325.0248323098841, 333.9972557772508, 334.01078163621526, 337.97434767785546, 338.081389235104, 342.90889997519486, 343.0196571055777, 343.04087437445213, 342.90889997519486, 342.02332667167866, 341.96925790873485, 338.9900043733885, 339.0136301913178, 339.99075498511843, 340.0048043363896, 340.90889997519486, 341.04594694335486, 341.02648008112703, 340.90889997519486, 337.06551429161027, 336.9717790821081, 332.0599525412781, 331.9884709372621, 330.0578478864005, 329.9908577369732, 322.1126995235024, 321.989552635352, 317.11729231478057, 316.992460634663, 312.1379076745369, 311.99429774440887, 308.13591706737515, 307.99626679744495, 112.00070323936714, 111.99531865095412, 130.65780480413173, 133.42017765519924, 138.8979234413508, 139.26479575978183, 141.78200275879755, 142.37375588863426, 146.9970640274413, 147.00316020889534, 175.83985157729867, 176.88071941149633, 180.91237790462688, 181.22112166833537, 183.83707107425175, 184.27900140940793, 191.5989863015472, 192.22513745005875, 195.13613592775644, 196.1474475066383, 199.99857810363665, 200.02061021832375, 206.90889997519488, 206.90889997519488, 206.39680791262685], [406.5308963915209, 407.2068976031507, 410.6857804034675, 412.16622592234853, 416.99738673157526, 417.1360665129167, 422.9983782369703, 423.0326813391368, 453.99524792612294, 454.0333381117114, 460.9920769911583, 461.0602619067055, 463.97976107731927, 464.12067277011647, 466.90889997519486, 467.42785756841346, 467.9159887104766, 468.2718143491019, 468.98533418949415, 469.0385676161956, 469.96047370120357, 470.09546013134013, 470.9682291057008, 471.0693987890823, 490.80395788037447, 491.00070323936717, 491.85412400786305, 492.00070323936717], [490.00070323936717, 489.91748368272033, 489.00070323936717, 488.98282687399796, 488.00070323936717, 487.93888227224113, 469.10714530881353, 468.94433550926374, 468.2234615745518, 467.90889997519486, 467.2723762777724, 466.90889997519486, 466.2243896177619, 465.9204486114739, 465.0344146331445, 464.98894173913925, 464.13643141242255, 463.9649260219822, 463.1192519562252, 462.9738174336918, 459.10698926576254, 458.98547081550686, 449.0123036097934, 448.9980320595621, 445.02185290849485, 444.99743932179325, 418.00357296481593, 417.99921599083234], [483.1250644174932, 482.90889997519486, 482.2521299811388, 481.90889997519486, 481.0211522284561, 480.90889997519486]]","[[15.004597301312657, 13.74232142212105], [189.4290928458305, 193.63560224912578, 194.00757055117268, 216.97091172392732, 217.00793837342954, 168.08370167719465, 167.98437475797496, 92.00245227552598, 91.60530312402699, 89.00120182877089, 88.93021967231336, 87.0013516276697, 86.92539397870154, 84.00189150667232, 83.89560001441968, 79.00086239793967, 78.99525202091868, 77.00097816698114, 76.99138211783252, 75.00334753211, 74.91571952343678, 72.00609834405834, 71.90907967728961, 71.00822749091682, 70.91619298675785, 70.01415759800517, 69.91191941325262, 69.91094494700316, 70.01415759800517, 70.92341686938421, 71.00772303836402, 72.92680076057539, 73.00428815031687, 78.96454022718395, 79.00153256855717, 86.84585199632521, 87.00380772001773, 97.94131598853026, 98.00122736594348, 104.04318520618695, 105.00235365179994, 109.92189128384443, 111.2104990872577, 117.90690356317893, 118.35200132428908, 125.89396529393036, 126.20973454313068, 131.96395390919605, 132.05142536824778, 136.9766563119557, 137.02601444251732, 155.97807626822282, 156.0129773597482, 167.7244894312826, 168.09234266429817, 193.76579042599997, 195.02295368439405, 219.95375683049448, 221.48710188618665, 228.97324086563316, 229.3323000010724, 281.89780507081406, 282.0161792310312, 287.906114151855, 288.0062586746702, 297.3625850025891, 300.05250434203697, 312.96973948762997, 315.2264206810773, 340.92639797800416, 341.304409923333, 356.9325734495347, 357.1197589418504, 361.9349103462851, 362.09335535128497, 377.88652734887904, 378.0979798009742, 385.88193455760086, 386.0687390856187, 392.8613191978445, 393.05026645292145, 397.8633098050063, 398.0304670949471, 358.0462539930255, 357.9863778892769, 302.3429683234869, 299.58059547241936, 295.0021504277076, 294.73597736783677, 293.00372521468125, 292.62701723898437, 290.0008035989959, 289.9977293091251, 284.84495414909946, 285.01256853835866, 285.91554808052797, 286.00378135706, 286.8422477299457, 287.00455243274, 290.60516418573184, 291.00683414341916, 293.1484799187703, 294.00476416781663, 297.994035325007, 298.02173534468477, 316.246125302005, 318.205492955757, 323.5585471751694], [10.537981371568444, 11.006348159822945, 13.699938001472699, 15.005264501072947, 19.98323870656144, 20.13875051900728, 26.9922240653631, 27.033969448604232, 72.96385612479182, 73.03463508885864, 86.92074842265498, 87.06859483999787, 93.78441438723038, 94.13649867256265, 101.833115523952, 103.48178466803168, 105.07847049757284, 106.30638686639921, 108.84610732229068, 109.04420973130689, 112.57090803658838, 113.10815882265291, 116.65675839290574, 117.07886500162193, 108.42417950877014, 107.13243803104099, 102.31762497185771, 101.56764102712488], [412.28784843129966, 411.8892346291324, 407.0772598345105, 406.97078731390883, 400.39814614847637, 399.91594150389204, 391.8801731124179, 392.60800006441355, 395.7510217221701, 397.0895106527893, 399.6967094393228, 401.1475391628712, 403.7499912723869, 404.8722450558053, 407.9609293834064, 408.1145507712846, 410.84765538179744, 411.38022080634937, 413.86673053553903, 414.28186098452073, 423.8803463743159, 424.1529473095641, 443.98692326258805, 444.01271690948414, 450.9773739638866, 451.01867704720314, 488.9956539075655, 489.00081216207167], [245.86027668793002, 249.72124738666227, 257.71918984944443, 261.1398186367298, 270.9756552516472, 272.69893322942886]]"
"[(1, 0), (4, 4), (5, 5), (6, 6), (6, 13)]",0.3,"[[26.72365845366167, 28.238243464820613], [208.37076004658613, 202.0168638610304, 201.9988248929835, 153.97002770758797, 154.06572281432892, 156.95909810036716, 157.07140926443992, 171.99579184657387, 172.00330684442915, 176.98737115821632, 177.00761168305922, 210.7276066962968, 211.0113351700198, 219.9880685443533, 220.27945374697686, 291.94603386545464, 292.0131248642653, 305.99894802948137, 306.03155429698444, 324.9969154101112, 325.02235673005714, 333.997530272101, 334.00920051574644, 342.90889997519486, 343.0185966749277, 342.0221697662275, 341.97068243708065, 338.9910423572404, 339.0120174738297, 339.9929032346839, 340.00338187197053, 340.90889997519486, 340.99484832862936, 340.94178364995577, 340.90889997519486, 308.1283715798851, 307.99644014321757, 130.69731420857494, 133.377791479198, 138.9014010240251, 139.25617766795855, 180.9157645195942, 181.2119903883765, 183.8407500915793, 184.27198577502898, 199.9989524691494, 200.00874117771355, 206.90889997519488, 206.90889997519488, 206.22826914525808], [406.5430188174973, 407.2006949769702, 410.714688653534, 412.1618438953592, 416.99756071397337, 417.12387624580373, 463.98057966355134, 464.11558540917815, 467.91833921386944, 468.26459766660344, 468.9879517938907, 469.03126923760834, 469.96290888692823, 470.08978793303277, 470.97016000781724, 471.0653625553416], [489.00070323936717, 488.98977656027796, 488.00070323936717, 487.9441092120185, 469.10422540353636, 468.94610499881884, 468.21913926040236, 467.90889997519486, 467.26667655943265, 466.90889997519486, 466.2174812164543, 465.92303934663835, 465.02640876403166, 464.99131981550664, 464.12896068158216, 463.96682367770444, 463.1124453906822, 462.9752712580819], [483.1226058963551, 482.90889997519486, 482.13776833383844, 481.90889997519486]]","[[15.004517824332066, 13.76252966279799], [189.41760514231208, 216.98236301135103, 217.00474475615192, 89.00117088845087, 88.93505031328968, 87.00131936758936, 86.92936386317866, 79.00082007721478, 78.99758465345015, 77.00093286294045, 76.99333793833512, 70.0044121180914, 69.98966472553556, 69.98922201422172, 70.00455845879495, 97.94758837138349, 98.00118526712062, 110.99738771871198, 111.03282718923768, 136.9789674313009, 137.0235054376508, 155.98111485643605, 156.0112001274175, 193.77401902212506, 195.02176172484837, 228.97452543186694, 229.31654138378403, 281.9092952881937, 282.0143664825931, 287.9298947284481, 288.00465977704994, 297.37527417682884, 298.9514264239702, 314.6362296004046, 315.21499346395876, 397.87085529249634, 398.0287240565717, 302.3034589190437, 299.6229816484206, 295.0021031846119, 294.74459545966005, 285.91884446231904, 286.0036597098693, 286.84582872331066, 287.0044589702443, 297.99742795249244, 298.0097060494355, 316.2389315393925, 318.20212669760036, 324.74568365155284], [10.549942302215385, 11.00618289667176, 13.728846251539137, 15.00514774607792, 19.984815394172266, 20.126395660086, 93.79347592873063, 94.13078030858227, 105.10448997262056, 106.29827507371202, 108.87508353755095, 109.03600610948124, 112.59786492352234, 113.10178308189394, 116.67813298848841, 117.07432813979536], [407.04437149432545, 406.97946098844795, 400.3617391070634, 399.92246507526454, 391.88341521981823, 392.58842536884777, 395.75582098973547, 397.0728429587572, 399.70303810318535, 401.1283787816724, 403.7576619934817, 404.8435854618613, 407.96981867433664, 408.0882436813162, 410.85595048367406, 411.35922829303126, 413.8742881836213, 414.2657782844216], [245.86300649894073, 249.66106855706232, 258.84617093541823, 261.1046261995475]]"
"[(1, 0), (4, 4), (5, 5), (6, 6), (6, 13)]",0.4,"[[27.938575013694, 28.22246607546775], [208.36233092462962, 202.01046863583292, 201.99900175491385, 130.7223194258646, 133.35073211586413, 180.91806922166649, 181.2056391550254, 199.999163082574, 200.0020286727995, 206.21836477864107], [406.55190568146446, 407.19591630957046, 410.80365866441105, 411.03552701925616, 463.9811848108765, 464.1118328598079, 467.9203226174984, 468.25859058026595, 468.9901376602121, 469.02515334573064, 469.9648482101926, 470.0853117806522, 470.971537606742, 471.0625482881708], [489.00070323936717, 488.99572728254367, 466.2117447798449, 465.92521730792214, 465.01956316800806, 464.99334886803996, 464.1226790677297, 463.9684241041705, 463.10685778041005, 462.97646739464903], [483.0664199689184, 482.90889997519486, 482.13442676179096, 481.90889997519486]]","[[14.001598174518747, 13.77830705215085], [189.40813052709083, 216.9887582365485, 217.0029663618643, 302.278453701754, 299.65004101175447, 285.9210877577684, 286.0035750985444, 297.9993366029116, 298.00290291292896, 324.7566809330594], [10.558710775109114, 11.006055573565387, 13.80710989712066, 14.001782151507891, 93.80017475578836, 94.12656231748366, 105.12644574660092, 106.2915229075976, 108.89928052206946, 109.02913164229776, 112.619332739072, 113.09675173679102, 116.69338265839224, 117.07116480929533], [407.01638426110685, 406.98688788890445, 403.76403142735643, 404.81949211304146, 407.9774196597871, 408.0657976117629, 410.862925253341, 411.3415238308836, 413.8804923686527, 414.2525462147043], [246.925392362128, 249.61581492665255, 258.84988123915616, 261.07818447872626]]"
"[(1, 0), (4, 4), (5, 5), (6, 6), (6, 13)]",0.5,"[[27.942061134818108, 28.211052220191476], [208.35552787475766, 206.21018928415467], [410.8223192503646, 411.03218154393255, 467.92194906369264, 468.2537594455034, 468.9919049818915, 469.0201922969399, 469.9663101368851, 470.08199892776815], [466.20714835705877, 465.92699479456604, 465.01385605813334, 464.99503642461, 464.11756328415925, 463.96973295029704, 463.10246797995967, 462.9774100261227], [483.0060201302006, 482.90889997519486, 482.0191645932166, 481.90889997519486]]","[[14.00155081542791, 13.789720907427125], [189.40048367132098, 324.7657585669757], [13.825521886177668, 14.001693014458825, 105.14445009251918, 106.28609255041536, 108.91884432379695, 109.0235552573992, 112.63551589592817, 113.09302797926051], [403.7691350505619, 404.79982895095736, 407.98375653081655, 408.0471292867572, 410.8686055471171, 411.3270449296682, 413.88536656941454, 414.2421185045917], [247.99245712810585, 249.5846268918802, 259.97786221602024, 261.060146858575]]"
"[(1, 0), (4, 4), (5, 5), (6, 6), (6, 13)]",0.6,"[[27.944341860023982, 28.203944067457222], [208.35020976764378, 206.20359700746158], [410.8348618957454, 411.0299325402156, 468.9932667111692, 469.0163596765005, 469.96731255822937, 470.0798178912102], [465.0092662700791, 464.9963900779285, 464.1135906294169, 463.9707559710246, 463.0992550862519, 462.9781034682045], [483.00502133516045, 482.90889997519486, 482.0175112909834, 481.90889997519486]]","[[14.001519831687425, 13.796829060161377], [189.39450594091568, 324.77307828012505], [13.837897438053282, 14.001633091866283, 108.93391832074214, 109.01924726373868, 112.64661244538841, 113.0905764211651], [407.98885278716887, 408.0321547131379, 410.8730165714884, 411.31572792627554, 413.88893399557327, 414.2344474123243], [247.99356613695508, 249.5666981874254, 259.9796979548188, 261.050187122864]]"
"[(4, 4), (5, 5), (6, 6)]",0.7,"[[208.16608807557233, 206.19846257203534], [468.99423561143294, 469.013629898118], [465.0057729967408, 464.99741751096303, 464.11073871035694, 463.9714990449553]]","[[188.18754699605, 324.77877928392905], [108.94464380036179, 109.01617890146477], [407.99273153194537, 408.020788899303, 410.876183190612, 411.3075077896065]]"
"[(4, 4), (5, 5), (6, 6)]",0.8,"[[208.1568303044367, 206.1946774502506], [468.99482429436193, 469.0119778863938], [465.0033555571904, 464.99812651300647]]","[[188.1771409514146, 324.7829820816861], [108.95116037073952, 109.01432198499015], [407.99541572814786, 408.012945677445]]"
"[(4, 4), (6, 6)]",0.9,"[[208.14919103170894, 206.037019574844], [465.0019931999624, 464.9985249882445]]","[[188.16855415316454, 325.9580369947978], [407.9969284170989, 408.0085376087718]]"
"[(4, 4)]",1.0,"[[208.14308911026885, 206.0297081257113]]","[[188.1616953892205, 325.96615523874436]]"
