s,t,x,y
"[(0, 2), (0, 3), (0, 4)]",0.1,"[[131.99540125211797, 98.99786870644597, 98.96673623248066, 97.99787254814737, 97.96673375005469, 97.19984856207536], [96.82338400740953, 96.82338400740952], [97.19984856207536, 97.96673375005469, 97.99787254814737, 98.96673623248066, 98.99786870644597, 132.03238233929994]]","[[198.6496229533703, 239.8660599665369, 240.06190903022264, 243.86593980017912, 244.06191475395164, 247.0927327053599], [255.878748234497, 256.121251765503], [264.9072672946401, 267.9380852460484, 268.1340601998209, 271.93809096977736, 272.13394003346315, 313.2812089977453]]"
"[(0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 16), (0, 17), (0, 18), (0, 19), (0, 20), (2, 22), (2, 45), (2, 46), (2, 47)]",0.2,"[[96.79179248579962, 96.79179248579962], [97.64224386173929, 97.24877128637043], [97.24877128637044, 97.64224386173933], [98.6422758067732, 98.24186440319048], [98.24186440319048, 98.64227580677318], [103.73078816881448, 102.04853443046062, 101.7145255228542, 100.04966602371174, 99.69696448652026, 99.23755977790502], [99.237559777905, 99.69696448652026, 100.04966602371174, 101.71452552285422, 102.04853443046065, 103.73078816881447], [106.73078373061477, 104.96993312847862], [104.96993312847864, 106.73078373061529], [108.70069805583876, 107.97433555341304], [107.97433555341364, 108.70069805584302], [111.7004267691681, 110.98132001331805], [110.98132001333354, 111.70042676926548], [119.92624517556594, 118.75578733143468], [118.75578749385409, 119.92624539180512], [123.96420053945022, 122.75533921509455], [122.75534657642169, 123.9642109108867], [128.9328686410974, 125.7111117358424], [125.71123145281308, 128.93408388109629], [221.6227680290924, 221.26101052158617, 220.93855847177483, 220.04398803351657, 219.79453168039822, 218.2458587187147, 217.7472972290398, 217.74730013986562, 218.24585860944825, 219.7945311611607, 220.04398800633948, 220.93855840237887, 221.26101050896503, 221.6227679914756], [222.61766783377266, 222.31500218963532], [222.31500218527714, 222.61766782420574], [223.159966181065, 223.15996618105635]]","[[255.8471567128871, 256.1528432871129], [244.69175642081387, 245.6961050882204], [266.30389491177965, 267.3082435791862], [240.69168755178325, 241.71529888947063], [270.2847011105294, 271.3083124482167], [226.71262608916564, 230.27623508251807, 231.52670988073743, 235.27215345025448, 236.57378639787018, 237.72726117695007], [274.2727388230499, 275.42621360212985, 276.7278465497455, 280.47329011926263, 281.72376491748196, 285.2873739108343], [221.71263179894032, 224.98810970988356], [287.01189029011647, 290.2873682010592], [218.75544702950594, 219.96434772159006], [292.03565227840926, 293.24455297048985], [214.75579027156573, 215.92624897681415], [296.0737510231703, 297.2442097283369], [206.98131621282354, 207.70042382903617], [304.2995760085444, 305.01868357098016], [203.9741927617745, 204.7005902414274], [307.29940239724544, 308.02579717617306], [200.96407543246988, 202.72926366751685], [309.27061661551244, 311.03467855657004], [241.58985159096397, 240.60905801936224, 239.5613328297181, 236.08068004656448, 235.09860461771922, 231.58357921483255, 229.97696483038246, 282.0230327096509, 280.41642062601403, 276.90139673267896, 275.91931993717185, 272.4386672499969, 271.3909419596053, 270.41014844624266], [245.56397796458856, 244.73444532014602], [267.2655546754128, 266.43602204499064], [256.1049792580152, 255.89502074199353]]"
"[(0, 3), (2, 5), (2, 14), (2, 15), (2, 16), (2, 17), (2, 18), (2, 19), (2, 20), (2, 21), (2, 22), (2, 23), (2, 24), (2, 25), (2, 26)]",0.3,"[[96.75639337279733, 96.75639337279732], [209.04655264629733, 209.04682609530002], [212.00779597798294, 211.24354413976857], [211.24354743051984, 212.00780096332795], [215.02164602080597, 213.22474933284477], [213.22483050289543, 215.0216460215227], [217.74831902030206, 216.2370411562875], [216.2370414538237, 217.7483269880546], [220.696490961866, 220.29482976278555, 219.86630887856762, 219.33921736314232], [219.33921725727757, 219.86630855306237, 220.29482971921422, 220.69649083524513], [221.69898904620032, 221.34737515851725], [221.34737513951706, 221.69898900297432], [222.69853159090206, 222.349655396556], [222.34965539146515, 222.69853158004292], [223.18956630982575, 223.18956630981037]]","[[255.8117575998848, 256.1882424001152], [216.08515782333728, 295.91499308934783], [219.98277488750276, 218.81109740498022], [293.18890588762054, 292.0172302454998], [224.99654398682935, 221.75687778940042], [290.2432034600854, 287.00345601388585], [229.80312950435948, 226.74456439572808], [285.25543590210543, 282.19686527613834], [237.66201857872687, 236.58668984775642, 235.10717320280284, 233.71251509826553], [278.28748479618787, 276.89282732815167, 275.4133100849278, 274.33798154653823], [241.6551817356636, 240.70216815317062], [271.29783182751476, 270.3448183082722], [245.64345359165972, 244.69995252829904], [267.30004746652514, 266.3565464191902], [256.1342199975995, 255.8657800024159]]"
"[(0, 3), (2, 5), (2, 12), (2, 13), (2, 14)]",0.4,"[[96.71722458037175, 96.71722458037175], [198.32799371104264, 198.327851644062], [201.1348110513617, 200.35849140209814], [200.36152212564943, 201.1347955242114], [223.22291376633143, 223.22291376630758]]","[[255.77258880745921, 256.2274111925408], [205.96922200451715, 306.03064289857593], [207.81045764722953, 207.33340052778559], [304.66370934063804, 304.18952683926403], [256.16754953924396, 255.83245046077988]]"
"[(2, 5), (2, 9), (2, 10)]",0.5,"[[194.08800915833257, 194.0864232752502], [197.09591359322516, 196.5769595658603], [196.58111299685837, 197.09538107598877]]","[[202.93030957173667, 309.0681078489194], [204.84926444594288, 204.54159743523286], [307.45444053389747, 307.15020323055614]]"
"[(2, 5)]",0.6,"[[189.8865493299463, 189.8810674498783]]","[[200.80545764868802, 311.1910830636042]]"
"[(2, 3)]",0.7,"[[189.90075738662668, 189.89477798964953]]","[[200.79649179113284, 311.1997349678977]]"
"[(2, 4)]",0.8,"[[189.91780754365553, 189.91133844763758]]","[[200.78573111152812, 311.21018660206414]]"
"[(2, 4)]",0.9,"[[188.69997923208905, 189.6309670968738]]","[[200.05986026957328, 311.3929914336693]]"
"[(2, 5)]",1.0,"[[188.7033903835811, 188.68818254913361]]","[[200.05730629297852, 311.9313073897247]]"
