s,t,x,y
"((0, 0), (1, 0))",50.0,"([149.44184740183508], [138.8700974842211])","([98.45926196572186], [291.2402609664146])"
"((0, 0), (1, 0))",50.0,"([149.44130448793345], [138.86992698349968])","([98.45896088893373], [291.24076540310404])"
"((0, 0), (1, 0))",50.0,"([149.44076277033798], [138.86975584597383])","([98.45866047556574], [291.24127172381804])"
"((0, 0), (1, 0))",50.0,"([149.44022225137857], [138.86958407296277])","([98.45836072690993], [291.2417799246533])"
"((0, 0), (1, 0))",50.0,"([149.43968293338366], [138.86941166578833])","([98.4580616442576], [291.24229000169936])"
"((0, 0), (1, 0))",50.1,"([149.44763805256233], [138.86923862577476])","([98.45756735731318], [291.24280195103813])"
"((0, 0), (1, 0))",50.1,"([149.44709555337022], [138.869064954249])","([98.45726849597254], [291.2433157687439])"
"((0, 0), (1, 0))",50.1,"([149.44655427390185], [138.86889065254047])","([98.45697030657443], [291.2438314508836])"
"((0, 0), (1, 0))",50.1,"([149.4455234731954], [138.86871572198098])","([98.45668432352616], [291.2443489935168])"
"((0, 0), (1, 0))",50.1,"([149.44498453786017], [138.86854016390492])","([98.45638755605265], [291.24486839269565])"
"((0, 0), (1, 0))",50.1,"([149.4739007147161], [138.86836397964908])","([98.45539064549659], [291.24538964446526])"
"((0, 0), (1, 0))",50.1,"([149.61532897604422], [138.8681871705528])","([98.45169231290565], [291.2459127448631])"
"((0, 0), (1, 0))",50.1,"([149.614717745997], [138.86800973795755])","([98.45137437894476], [291.24643768992024])"
"((0, 0), (1, 0))",50.1,"([149.69574398623956], [138.86763820252511])","([98.4490789701052], [291.2470869078258])"
"((0, 0), (1, 0))",50.1,"([149.6950932664279], [138.86745943394288])","([98.44875158720379], [291.24761553157043])"
"((0, 0), (1, 0))",50.2,"([149.69444400258357], [138.86728004551782])","([98.44842493681244], [291.24814598820785])"
"((0, 0), (1, 0))",50.2,"([149.6937961970478], [138.86710003860182])","([98.44809902010904], [291.2486782737404])"
"((0, 0), (1, 0))",50.2,"([149.69314985216062], [138.86691941454887])","([98.44777383827089], [291.24921238416425])"
"((0, 0), (1, 0))",50.2,"([149.6925049702606], [138.8667381747153])","([98.44744939247452], [291.2497483154689])"
"((0, 0), (1, 0))",50.2,"([149.69186155368476], [138.86655632045932])","([98.44712568389575], [291.2502860636379])"
"((0, 0), (1, 0))",50.2,"([149.69121960476897], [138.86637385314143])","([98.44680271370974], [291.25082562464837])"
"((0, 0), (1, 0))",50.2,"([149.6905791258475], [138.8661907741239])","([98.44648048309091], [291.2513669944718])"
"((0, 0), (1, 0))",50.2,"([149.6899401192535], [138.8660070847712])","([98.44615899321305], [291.25191016907365])"
"((0, 0), (1, 0))",50.2,"([149.6893025873183], [138.8658227864496])","([98.4458382452491], [291.2524551444137])"
"((0, 0), (1, 0))",50.2,"([149.68866653237228], [138.8656378805272])","([98.4455182403715], [291.2530019164465])"
"((0, 0), (1, 0))",50.3,"([149.68803195674417], [138.865452368374])","([98.44519897975184], [291.2535504811209])"
"((0, 0), (1, 0))",50.3,"([149.6873988627615], [138.86526625136167])","([98.44488046456112], [291.25410083438084])"
"((0, 0), (1, 0))",50.3,"([149.6867672527503], [138.86507953086357])","([98.44456269596958], [291.2546529721651])"
"((0, 0), (1, 0))",50.3,"([149.6861371290352], [138.85675501645616])","([98.44424567514679], [291.26031969516447])"
"((0, 0), (1, 0))",50.3,"([149.68550849393947], [138.85656494586897])","([98.4439294032616], [291.2608743167355])"
"((0, 0), (1, 0))",50.3,"([149.68488134978506], [138.85637426630996])","([98.44361388148218], [291.2614307152721])"
"((0, 0), (1, 0))",50.3,"([149.68425569889249], [138.85618297918455])","([98.44329911097603], [291.26198888667335])"
"((0, 0), (1, 0))",50.3,"([149.6836315435809], [138.85599108589966])","([98.44298509290992], [291.26254882683406])"
"((0, 0), (1, 0))",50.3,"([149.68300888616795], [138.81742983558337])","([98.44267182844987], [291.2871614989361])"
"((0, 0), (1, 0))",50.3,"([149.68238772896999], [138.81724970553137])","([98.44235931876128], [291.2877054165819])"
"((0, 0), (1, 0))",50.4,"([149.6817663351556], [138.81661150260805])","([98.44204761269715], [291.28853758549377])"
"((0, 0), (1, 0))",50.4,"([149.68114818242555], [138.81643001613295])","([98.44173661637522], [291.2890849867019])"
"((0, 0), (1, 0))",50.4,"([149.68053153686054], [138.81624795213796])","([98.441426378317], [291.28963412983086])"
"((0, 0), (1, 0))",50.4,"([149.6799164007714], [138.81606531196417])","([98.44111689968507], [291.2901850108357])"
"((0, 0), (1, 0))",50.4,"([149.6793196185839], [138.81588209695377])","([98.44080771013168], [291.2907376256681])"
"((0, 0), (1, 0))",50.4,"([149.678707494151], [138.81569830845018])","([98.44049975181846], [291.2912919702762])"
"((0, 0), (1, 0))",50.4,"([149.6780968861519], [138.81551394779754])","([98.44019255641938], [291.29184804060543])"
"((0, 0), (1, 0))",50.4,"([149.6774877968916], [138.81532901634128])","([98.43988612509409], [291.292405832598])"
"((0, 0), (1, 0))",50.4,"([149.67688022867364], [138.81514351542765])","([98.43958045900152], [291.2929653421932])"
"((0, 0), (1, 0))",50.4,"([149.67627418380022], [138.81495744640387])","([98.43927555929987], [291.29352656532757])"
"((0, 0), (1, 0))",50.5,"([149.67566966457213], [138.814770810618])","([98.43897142714667], [291.29408949793503])"
"((0, 0), (1, 0))",50.5,"([149.6750666732885], [138.81458360941906])","([98.43866806369863], [291.2946541359467])"
"((0, 0), (1, 0))",50.5,"([149.67446521224724], [138.81439584415693])","([98.43836547011179], [291.29522047529116])"
"((0, 0), (1, 0))",50.5,"([149.67386528374476], [138.8142075161822])","([98.43806364754148], [291.2957885118946])"
"((0, 0), (1, 0))",50.5,"([149.67342649562178], [138.70154554167192])","([98.4377579002609], [291.366324805572])"
"((0, 0), (1, 0))",50.5,"([149.67282951418292], [138.70136144039554])","([98.43745760409816], [291.3668594076236])"
"((0, 0), (1, 0))",50.5,"([149.67223407246837], [138.64374748792648])","([98.43715808245413], [291.4030867558557])"
"((0, 0), (1, 0))",50.5,"([149.67164017276872], [138.6435588081644])","([98.43685933648105], [291.4036097789561])"
"((0, 0), (1, 0))",50.5,"([149.67104781737328], [138.64336950905025])","([98.4365613673305], [291.4041345189096])"
"((0, 0), (1, 0))",50.5,"([149.67045700856985], [138.64317959208563])","([98.43626417615329], [291.40466097155377])"
"((0, 0), (1, 0))",50.6,"([149.6698677486447], [138.64298905877288])","([98.43596776409947], [291.40518913272405])"
"((0, 0), (1, 0))",50.6,"([149.66928003988284], [138.6427979106153])","([98.43567213231846], [291.40571899825346])"
"((0, 0), (1, 0))",50.6,"([149.66869388456774], [138.64260614911672])","([98.4353772819589], [291.4062505639731])"
"((0, 0), (1, 0))",50.6,"([149.66810928498143], [138.64241377578202])","([98.43508321416871], [291.40678382571156])"
"((0, 0), (1, 0))",50.6,"([149.66752624340464], [138.64222079211686])","([98.43478993009514], [291.4073187792951])"
"((0, 0), (1, 0))",50.6,"([149.6669447621164], [138.64202719962765])","([98.43449743088462], [291.407855420548])"
"((0, 0), (1, 0))",50.6,"([149.66636484339472], [138.64183299982176])","([98.43420571768301], [291.40839374529173])"
"((0, 0), (1, 0))",50.6,"([149.66689681549332], [138.6404630347892])","([98.43388006421897], [291.4096602359655])"
"((0, 0), (1, 0))",50.6,"([149.66631923766406], [138.64026723588228])","([98.43358979411487], [291.4102018055578])"
"((0, 0), (1, 0))",50.6,"([149.6657432311819], [138.6400708325903])","([98.43330031371401], [291.4107450468476])"
"((0, 0), (1, 0))",50.7,"([149.66516879831926], [138.63987382642892])","([98.43301162415844], [291.41128995564287])"
"((0, 0), (1, 0))",50.7,"([149.66459594134733], [138.6396762189146])","([98.43272372658957], [291.4118365277492])"
"((0, 0), (1, 0))",50.7,"([149.66402466253567], [138.63947801156468])","([98.432436622148], [291.4123847589695])"
"((0, 0), (1, 0))",50.7,"([149.66345496415266], [138.62330573076974])","([98.43215031197376], [291.422780949325])"
"((0, 0), (1, 0))",50.7,"([149.66288684846532], [138.4938220464118])","([98.43186479720613], [291.502982120864])"
"((0, 0), (1, 0))",50.7,"([149.6623203177393], [138.4936415935812])","([98.43158007898379], [291.50348001499276])"
"((0, 0), (1, 0))",50.7,"([149.6617422181551], [138.49346053935807])","([98.43129658664691], [291.5039795684461])"
"((0, 0), (1, 0))",50.7,"([149.6611788580579], [138.493278885245])","([98.43101346697932], [291.50448077707824])"
"((0, 0), (1, 0))",50.7,"([149.66061708973888], [138.49309663274568])","([98.43073114726847], [291.50498363674006])"
"((0, 0), (1, 0))",50.7,"([149.66005691545834], [138.4929137833651])","([98.43044962865031], [291.5054881432792])"
"((0, 0), (1, 0))",50.8,"([149.66519743134208], [138.49273033860953])","([98.42998021277013], [291.5059942925397])"
"((0, 0), (1, 0))",50.8,"([149.6646368080285], [138.49254629998637])","([98.42969962063106], [291.5065020803624])"
"((0, 0), (1, 0))",50.8,"([149.66407779456947], [138.4923616690043])","([98.42941983422467], [291.5070115025846])"
"((0, 0), (1, 0))",50.8,"([149.66352039322072], [138.49217644717334])","([98.42914085467999], [291.50752255504005])"
