s,t,x,y
"[(3, 2)]",2712.9,"[[207.22304131759034, 209.7079932117128]]","[[331.3004979412025, 182.70373926878756]]"
"[(3, 2)]",2713.0,"[[207.26209617333438, 209.74885581287327]]","[[331.29901002210323, 182.70522211108585]]"
"[(3, 2)]",2713.1,"[[207.30156865897538, 209.79061868153858]]","[[331.29745865402566, 182.70663045262788]]"
"[(3, 2)]",2713.2,"[[207.341334608706, 209.76015617786842]]","[[331.2960022491135, 182.61314275114762]]"
"[(3, 2)]",2713.3,"[[207.37624611320467, 209.50397528232202]]","[[331.30154705568026, 182.2310847985812]]"
"[(3, 2)]",2713.4,"[[207.41688351086466, 209.3148031005242]]","[[331.2998203679186, 181.94070781525218]]"
"[(3, 2)]",2713.5,"[[207.45780331329783, 209.34785641330407]]","[[331.29817552071034, 181.9332180616962]]"
"[(3, 2)]",2713.6,"[[207.28173033799573, 209.38347974072215]]","[[331.58323975734464, 181.92845261865807]]"
"[(3, 2)]",2713.7,"[[206.99280750100803, 209.3064047581622]]","[[332.01383738567137, 181.78818805681368]]"
"[(3, 2)]",2713.8,"[[207.02876650818183, 209.34376490101863]]","[[332.01805757439183, 181.78579962148774]]"
"[(3, 2)]",2713.9,"[[206.94962791544657, 209.38144450000897]]","[[332.17100287108934, 181.78331489248552]]"
"[(3, 2)]",2714.0,"[[206.98337904307226, 209.41943549476113]]","[[332.17600949018816, 181.78073663809067]]"
"[(3, 2)]",2714.1,"[[207.01885949454112, 209.39908425549405]]","[[332.1803155570347, 181.70998466589757]]"
"[(3, 2)]",2714.2,"[[207.05676489699107, 209.44093475632133]]","[[332.1829810928682, 181.7114744267189]]"
"[(3, 2)]",2714.3,"[[207.00834005712642, 209.4825830321105]]","[[332.2913356312813, 181.71224122206456]]"
"[(3, 2)]",2714.4,"[[207.0498264539038, 209.52514843433366]]","[[332.28975171227523, 181.71358311294816]]"
"[(3, 2)]",2714.5,"[[207.09164018513184, 209.568040654482]]","[[332.28827206383994, 181.71483219243748]]"
"[(3, 2)]",2714.6,"[[207.13377421242512, 209.55006496980704]]","[[332.2868914851321, 181.64730771981453]]"
"[(3, 2)]",2714.7,"[[207.1762218322633, 209.33785316426477]]","[[332.2856051104225, 181.36285561565086]]"
"[(3, 2)]",2714.8,"[[207.21897667429818, 209.35575383415335]]","[[332.28440836489585, 181.33513235286262]]"
"[(3, 2)]",2714.9,"[[207.25490957619934, 209.0764982305214]]","[[332.2916381065422, 180.97770514735032]]"
"[(3, 2)]",2715.0,"[[207.11988869457412, 209.1144181745448]]","[[332.4982058626483, 180.97265512383257]]"
"[(3, 2)]",2715.1,"[[207.13454697801308, 209.15269700109118]]","[[332.5295780176583, 180.96757513692143]]"
"[(3, 2)]",2715.2,"[[206.81277357837297, 209.0591328629662]]","[[332.95566071385275, 180.82371067589125]]"
"[(3, 2)]",2715.3,"[[206.83948083221787, 209.09923806270498]]","[[332.9701496084542, 180.82087311286196]]"
"[(3, 2)]",2715.4,"[[206.74181537806083, 209.13968643126555]]","[[333.1267123601456, 180.817946030073]]"
"[(3, 2)]",2715.5,"[[206.7763086223581, 209.18046862855755]]","[[333.13144485039925, 180.81493149880933]]"
"[(3, 2)]",2715.6,"[[206.80979028983285, 209.22157569347848]]","[[333.13807745557074, 180.81183136883246]]"
"[(3, 2)]",2715.7,"[[206.8453969258449, 209.1779107578338]]","[[333.14280247474585, 180.72263750837874]]"
"[(3, 2)]",2715.8,"[[206.78200831172052, 209.22249050541157]]","[[333.25840368616986, 180.72280771258022]]"
"[(3, 2)]",2715.9,"[[206.82215016742316, 209.26849218953993]]","[[333.2609286078542, 180.72395463035915]]"
"[(3, 2)]",2716.0,"[[206.86264795327412, 209.27225863898053]]","[[333.26356863994914, 180.68279082779003]]"
"[(3, 2)]",2716.1,"[[206.90349117430384, 209.13707152022283]]","[[333.266320447478, 180.50478732737326]]"
"[(3, 2)]",2716.2,"[[206.94466966785006, 209.16454173852898]]","[[333.2691809455048, 180.48778690611303]]"
"[(3, 2)]",2716.3,"[[206.98617360448594, 208.8476531620749]]","[[333.27214728204643, 180.13162676116988]]"
"[(3, 2)]",2716.4,"[[207.000129544152, 208.81945649922628]]","[[333.3046517140681, 180.06159908355107]]"
"[(3, 2)]",2716.5,"[[206.928840311126, 208.84704686790408]]","[[333.4266324776861, 180.04680034998123]]"
"[(3, 2)]",2716.6,"[[206.60841834115968, 208.8747828626996]]","[[333.8072680815535, 180.03177155151712]]"
"[(3, 2)]",2716.7,"[[206.63611193446633, 208.7578983605469]]","[[333.822966626559, 179.87886579942383]]"
"[(3, 2)]",2716.8,"[[206.66446896629765, 208.79514007212686]]","[[333.83831196621156, 179.87366286261346]]"
"[(3, 2)]",2716.9,"[[206.47395832658466, 208.83289176589895]]","[[334.07590065639954, 179.86849427183358]]"
"[(3, 2)]",2717.0,"[[206.5113504896203, 208.87203735138092]]","[[334.0810178180899, 179.86308644182793]]"
"[(3, 2)]",2717.1,"[[206.5490954107803, 208.9131191422183]]","[[334.08620607011574, 179.85735946741275]]"
"[(3, 2)]",2717.2,"[[206.5838988317167, 208.84050113240295]]","[[334.0946493250592, 179.74824048647903]]"
