s,t,x,y
(),0.0,(),()
(),0.0,(),()
(),0.0,(),()
(),0.0,(),()
(),0.0,(),()
(),0.1,(),()
"((0, 16), (0, 17))",0.1,"([187.37446027219045, 197.4391711358824], [218.83849735925068, 218.70362390386126])","([199.48377816688767, 189.36471181465717], [167.72859113196805, 162.80462923778526])"
"((0, 2), (0, 3), (0, 10))",0.1,"([150.15510633417605, 195.37150321954206], [194.00336218370649, 173.74436692220357], [217.3997385466108, 217.19078683385322])","([237.1418820838552, 191.60755084404005], [143.37452935165334, 133.63432993220286], [169.46501213158697, 161.27710784994935])"
"((0, 3),)",0.1,"([141.70135213175416, 198.8960746676491, 216.59156956252428, 216.44325056606334, 199.84447617476195, 148.06210581399813],)","([245.9580116950471, 188.29641038774386, 170.43504205661492, 160.39096041121806, 146.9261944231308, 126.65026556938085],)"
"((0, 1),)",0.1,"([112.6432796959013, 198.0507916739848, 207.12067148415892, 119.33396896570251],)","([277.6130232851998, 189.37016324218266, 180.204397395758, 124.4982563680002],)"
"((0, 0),)",0.1,"([113.68166079075638, 116.35640528113963],)","([276.5746421903447, 124.12841460596424],)"
"((0, 0),)",0.1,"([114.90979356913527, 115.08943196002993],)","([275.34650941196577, 123.87824487750233],)"
"((0, 0),)",0.1,"([110.87754155404383, 116.30961005349856],)","([281.2252809567512, 123.76740722418344],)"
"((0, 0),)",0.1,"([111.20835695879981, 111.65109720853785],)","([280.8944655519952, 123.12850489649455],)"
"((0, 0),)",0.2,"([111.65007212733087, 111.17544489149083],)","([280.45275038346415, 122.86088866945428],)"
"((0, 0),)",0.2,"([110.47873854607118, 111.06252265031365],)","([283.000355851982, 122.53629856066549],)"
"((0, 0),)",0.2,"([110.65113623410423, 111.14432320905514],)","([282.82795816394895, 122.37508912142577],)"
"((0, 0),)",0.2,"([110.8626242233004, 110.88775593220393],)","([282.61647017475275, 122.14598591323956],)"
"((0, 0),)",0.2,"([110.22812104895574, 110.59370237872622],)","([284.48106834377666, 121.79586883014703],)"
"((0, 0),)",0.2,"([110.32784261564312, 110.6335213446072],)","([284.3814614412395, 121.58715123123348],)"
"((0, 0),)",0.2,"([110.44785657791317, 110.53131388728538],)","([284.26144747896944, 121.33580803971438],)"
"((0, 0),)",0.2,"([110.5844901454654, 110.49839011432607],)","([284.1248139114172, 121.19505575229562],)"
"((0, 0),)",0.2,"([110.08089108528311, 110.44097452620912],)","([285.77064980030303, 121.0695418304967],)"
"((0, 0),)",0.2,"([110.15519895028507, 110.33549845537854],)","([285.69634193530106, 120.79825612370855],)"
"((0, 0),)",0.3,"([110.24620410553767, 110.34983703775117],)","([285.60533678004845, 120.61606599058081],)"
