,data_dir,num_odd_events,num_odd_frames,num_odds,num_total,percent_odd,percent_odd_frames_that_are_events,set_odd,tmax,tmin
0,Data/input/tip_log_chaos_circle6_sigma_4_threshold_0.6_wrapping_true_at_time_4500.0.csv,148,909,148,517,28.62669245647969,0.1628162816281628,[ 1 -1],4500.0,0.2
0,Data/input/tip_log_chaos_circle6_sigma_4_threshold_0.6_wrapping_true_at_time_4500.0.csv,148,909,148,517,28.62669245647969,0.1628162816281628,[ 1 -1],4500.0,0.2
0,Data/input/tip_log_chaos_circle6_sigma_4_threshold_0.6_wrapping_true_at_time_4500.0.csv,148,909,148,517,28.62669245647969,0.1628162816281628,[ 1 -1],4500.0,0.2
0,Data/input/tip_log_chaos_circle6_sigma_3_threshold_0.99_wrapping_true_at_time_4500.0.csv,552,1105,552,7546,7.31513384574609,0.4995475113122172,[ 1  3  5  7 -9 -7 -5 -3 -1],4500.0,0.2
0,Data/input/tip_log_chaos_circle6_sigma_2_threshold_0.9_wrapping_at_time_1800.0.csv,18,108,18,113,15.929203539823009,0.16666666666666666,[ 1 -1],1800.0,0.2
0,Data/input/tip_log_chaos_circle6_sigma_4_threshold_0.9_wrapping_true_at_time_1800.0.csv,20,86,20,542,3.690036900369004,0.23255813953488372,[ 1 -1],1800.0,0.2
0,Data/input/tip_log_chaos_circle6_sigma_3_threshold_0.95_wrapping_true_at_time_4500.0.csv,316,907,316,4759,6.6400504307627655,0.3484013230429989,[ 1  3  5 -5 -3 -1],4500.0,0.2
0,Data/input/tip_log_chaos_circle6_sigma_3_threshold_0.6_wrapping_true_at_time_3600.0.csv,48,388,48,222,21.62162162162162,0.12371134020618557,[ 1 -1],3600.0,0.2
0,Data/input/tip_log_chaos_circle6_sigma_2_threshold_0.9_at_time_3600.2.csv,48,669,48,143,33.56643356643357,0.07174887892376682,[ 1 -1],3600.2,1800.4
0,Data/input/tip_log_chaos_circle6_sigma_4_threshold_0.7_wrapping_true_at_time_3600.0.csv,84,536,84,281,29.893238434163703,0.15671641791044777,[ 1  5 -1 -3],3600.0,0.2
0,Data/input/tip_log_chaos_circle6_sigma_2_threshold_0.6_wrapping_true_at_time_3600.0.csv,48,367,48,246,19.51219512195122,0.1307901907356948,[ 1 -1],3600.0,0.2
0,Data/input/tip_log_chaos_circle6_sigma_8_threshold_0.9_wrapping_true_at_time_4500.0.csv,468,913,468,1826,25.629791894852136,0.5125958378970427,[ 1  3 -1 -3],4500.0,0.2
0,Data/input/tip_log_chaos_circle6_sigma_5_threshold_0.9_wrapping_true_at_time_4500.0.csv,486,1063,486,3215,15.116640746500778,0.45719661335841955,[ 1  3  5  7 -7 -5 -3 -1],4500.0,0.2
0,Data/input/tip_log_chaos_circle6_sigma_3_threshold_0.8_wrapping_true_at_time_4500.0.csv,182,1232,182,624,29.166666666666668,0.14772727272727273,[ 1  3 -1 -3],4500.0,0.2
0,Data/input/tip_log_chaos_circle6_sigma_3_threshold_0.8_wrapping_true_at_time_1800.0.csv,22,112,22,102,21.568627450980394,0.19642857142857142,[ 1 -1],1800.0,0.2
0,Data/input/tip_log_chaos_circle6_sigma_3_threshold_0.7_wrapping_true_at_time_3600.0.csv,58,436,58,248,23.387096774193548,0.13302752293577982,[ 1 -1],3600.0,0.2
0,Data/input/tip_log_chaos_circle6_sigma_5_threshold_0.6_wrapping_true_at_time_3600.0.csv,78,476,78,282,27.659574468085108,0.1638655462184874,[ 1  3 -1],3600.0,0.2
0,Data/input/tip_log_chaos_circle6_sigma_8_threshold_0.6_wrapping_true_at_time_4500.0.csv,250,1234,250,1132,22.084805653710248,0.2025931928687196,[ 1  3  5 -1 -5 -3],4500.0,0.2
0,Data/input/tip_log_chaos_circle6_sigma_12_threshold_0.6_wrapping_true_at_time_3600.0.csv,102,285,102,518,19.69111969111969,0.35789473684210527,[ 1  3 -1 -3],3600.0,0.2
0,Data/input/tip_log_chaos_circle6_sigma_3_threshold_0.7_wrapping_true_at_time_1800.0.csv,22,101,22,128,17.1875,0.21782178217821782,[ 1 -1],1800.0,0.2
0,Data/input/tip_log_chaos_circle6_sigma_4_threshold_0.6_wrapping_true_at_time_4500.0.csv,148,909,148,517,28.62669245647969,0.1628162816281628,[ 1 -1],4500.0,0.2
0,Data/input/tip_log_chaos_circle6_sigma_3_threshold_0.99_wrapping_true_at_time_4500.0.csv,552,1105,552,7546,7.31513384574609,0.4995475113122172,[ 1  3  5  7 -9 -7 -5 -3 -1],4500.0,0.2
0,Data/input/tip_log_chaos_circle6_sigma_2_threshold_0.9_wrapping_at_time_1800.0.csv,18,108,18,113,15.929203539823009,0.16666666666666666,[ 1 -1],1800.0,0.2
0,Data/input/tip_log_chaos_circle6_sigma_4_threshold_0.9_wrapping_true_at_time_1800.0.csv,20,86,20,542,3.690036900369004,0.23255813953488372,[ 1 -1],1800.0,0.2
