s1,s2,t,x,y
"([3], [3], [3], [3], [3], [4], [11], [11], [12], [12], [12], [12], [12], [12], [12], [12], [12], [12], [12], [12], [12], [12], [12], [12], [12], [12], [12], [12], [13], [13], [13], [17], [17], [19], [19], [20], [20], [20], [20], [20], [20], [21], [21], [21], [24], [24], [26], [26])","([15], [15], [22], [23], [23], [14], [17], [17], [2], [2], [2], [2], [2], [2], [2], [2], [2], [2], [26], [26], [26], [26], [27], [27], [27], [27], [27], [27], [17], [17], [17], [26], [26], [41], [41], [38], [38], [38], [38], [38], [38], [45], [45], [45], [38], [38], [38], [38])",4.002,"(107.59190509383893, 83.12421773897489, 195.613427564042, 223.41737111140475, 249.90833267506463, 71.65057171355045, 125.59073698226211, 158.80620538695496, 261.76650981036795, 271.0130614855145, 270.90702509037334, 270.0554388446306, 181.38934853352612, 127.98931964226429, 126.7354066463308, 241.65454539531368, 367.99382054091814, 411.8415143362598, 401.13514143206396, 420.81622276545977, 375.6771024771842, 437.85593343661174, 332.0524259440406, 305.43272477197416, 298.77228194192173, 334.1584856637402, 381.40328799027526, 399.9120784851643, 195.2298661671656, 181.23675384453395, 186.54114991266476, 469.23573444206943, 462.2714015869925, 474.83715042606264, 476.17229456947405, 554.0278033319152, 533.0421366833643, 536.6508581083664, 578.5430324761119, 20.15848566374018, 5.204662490986607, 49.67644992874364, 506.4676759824082, 567.5576405791386, 27.79937464888644, 54.956423279457454, 41.514775257205656, 50.17716959027803)","(211.8816045323561, 163.06342433619602, 84.58005236837397, 165.8692636807212, 149.770700472691, 37.05226842890795, 474.58375581119583, 452.9617720636011, 225.19370060344164, 269.31636647648304, 269.26905875912064, 268.881627434561, 320.34450947078585, 354.43670987231087, 360.03649717307815, 350.13765339223306, 279.79125492690025, 254.7085083329403, 193.06617100770143, 316.03149635947887, 507.67314396760264, 467.8416122340591, 398.2632076468462, 403.7187301728324, 446.6320431094641, 409.48438357541636, 419.55200578134554, 437.352000544381, 470.0141223186837, 509.1192021440129, 596.4601647306821, 507.0021067770151, 531.9808848194407, 23.056097285358646, 49.72138843480229, 529.807710297467, 583.8415143362598, 11.742926560786259, 14.593294129044693, 8.85085140112119, 554.017690905893, 82.15381740659473, 110.52524088292881, 165.70623090153777, 331.9294697736764, 438.64589599479837, 313.8999068283778, 310.8415143362598)"
"([3], [3], [3], [3], [3], [4], [11], [11], [12], [12], [12], [12], [12], [12], [12], [12], [12], [12], [12], [12], [12], [12], [12], [12], [12], [12], [13], [13], [13], [17], [17], [19], [19], [20], [20], [20], [20], [20], [20], [21], [21], [21], [24], [24], [26], [26])","([16], [16], [27], [30], [30], [13], [23], [23], [2], [2], [2], [2], [2], [2], [2], [2], [32], [32], [32], [32], [35], [35], [35], [35], [35], [35], [23], [23], [23], [32], [32], [47], [47], [44], [44], [44], [44], [44], [44], [52], [52], [52], [44], [44], [44], [44])",4.022,"(107.57533834773147, 83.10577608535016, 195.60603907228875, 223.42855621179194, 249.9665589277655, 71.64030105125639, 125.5944756491973, 158.8119963530405, 261.76372774001914, 270.00253876201106, 181.38698053380932, 127.98792527449518, 127.01756049241533, 241.66034660680327, 367.9967882669632, 411.8415143362598, 401.12553050187665, 420.7988771458811, 375.6566984427794, 437.86772210495235, 332.0141635981943, 305.45230777188976, 298.7882208105931, 334.1584856637402, 381.049408406253, 399.901233069518, 195.18842195052179, 181.24002878460664, 186.5516221931777, 469.22693570865795, 462.01532254199446, 474.84438400908743, 476.1771063325633, 554.0267004035065, 533.0369589054436, 536.6439508300701, 578.1345028928692, 20.15848566374018, 5.226011987849461, 49.67474396551779, 506.4584387150435, 567.5319220024376, 27.810835338844186, 54.966348930109234, 41.49747115345292, 50.186071659746176)","(211.86243424602668, 162.9423941150415, 84.5768696659579, 165.866704880055, 149.77139868090813, 37.055577882737566, 474.58550646649553, 452.96766268600345, 225.18709383750854, 268.84245711408454, 320.3385381909037, 354.4250953000436, 358.7772560757259, 350.1379374347033, 279.8028156402955, 254.78412005754126, 193.063972327876, 316.0189797415672, 507.6607513034045, 467.8416135823936, 398.21828578513754, 403.6988101704864, 446.6479819781355, 409.5726701716652, 419.34761034207065, 437.3565577321863, 470.08027946176674, 509.1048866352048, 596.4771240546687, 507.0033440222944, 532.3391414981411, 23.0439748897752, 49.7363414153308, 529.7920516833635, 583.8415143362598, 11.733329945846549, 14.561559581019083, 8.859177886141197, 554.0023831699095, 82.14402410962748, 110.53825146350036, 165.4445860634521, 331.92635091843016, 438.6694449063217, 313.9172109321306, 310.8415143362598)"
"([3], [3], [3], [3], [3], [4], [11], [11], [12], [12], [12], [12], [12], [12], [12], [12], [12], [12], [12], [12], [12], [12], [12], [12], [12], [12], [13], [13], [13], [17], [17], [19], [19], [20], [20], [20], [20], [20], [20], [21], [21], [21], [24], [24], [26], [26])","([16], [16], [26], [27], [27], [13], [21], [21], [2], [2], [2], [2], [2], [2], [2], [2], [31], [31], [31], [31], [32], [32], [32], [32], [32], [32], [21], [21], [21], [31], [31], [43], [43], [40], [40], [40], [40], [40], [40], [44], [44], [44], [40], [40], [40], [40])",4.042,"(107.55884162144804, 83.11167437369437, 195.5985899014654, 223.4397099516964, 249.9597894890158, 71.62980673906276, 125.59831196994662, 158.81787878879845, 261.76093571894995, 269.3807801202057, 181.3846805429228, 127.98613912030459, 127.01326134951253, 241.66626903315853, 368.0003659314313, 411.8415143362598, 401.2521140706393, 420.78159936946076, 375.63616870371663, 437.87955864043033, 331.97380881409487, 305.4713567108992, 298.8035254777435, 334.1584856637402, 381.05156935613695, 399.8901698682132, 195.17515529582778, 181.2432745122453, 186.56179927373347, 469.21818158249596, 462.0166627959534, 474.8516469805843, 476.18193015266297, 554.0256098303776, 533.0318317667677, 536.6370827573649, 578.1316494717682, 20.15848566374018, 5.240181740040725, 49.67305853053699, 506.44912964796686, 567.522679276791, 27.822197610834678, 54.97595080755684, 42.12957281760691, 50.195143209100706)","(211.84334498345817, 162.94647221485496, 84.57366082513241, 165.864153253685, 149.7750152600931, 37.05895940193125, 474.5870406890947, 452.9736463521733, 225.1804634409438, 268.5262491702007, 320.33273840587333, 354.413825830212, 358.7823037395354, 350.13822741216995, 279.81330851456147, 254.86040587439703, 192.94348165809242, 316.0065120793521, 507.6482822907949, 467.8416149362032, 398.1679500738023, 403.679433419662, 446.66350337723634, 409.6614593606712, 419.35455939601115, 437.3612064324035, 470.07711999442495, 509.09069882059805, 596.4938583589213, 507.0045749950675, 532.3215549377796, 23.03180324353923, 49.751331864088, 529.7765684809696, 583.8415143362598, 11.723787801125582, 14.567020030968138, 8.867409131035629, 553.9964394975683, 82.13434865763875, 110.55136317310723, 165.42936827903776, 331.9232588461606, 438.6922256559574, 314.01038797618344, 310.8415143362598)"
"([3], [3], [3], [3], [3], [4], [11], [11], [12], [12], [12], [12], [12], [12], [12], [12], [12], [12], [12], [12], [12], [12], [12], [12], [12], [12], [13], [13], [13], [17], [17], [19], [19], [20], [20], [20], [20], [20], [20], [21], [21], [21], [24], [24], [26], [26])","([20], [20], [29], [30], [30], [15], [24], [24], [2], [2], [2], [2], [2], [2], [2], [2], [34], [34], [34], [34], [35], [35], [35], [35], [35], [35], [24], [24], [24], [34], [34], [49], [49], [46], [46], [46], [46], [46], [46], [51], [51], [51], [46], [46], [46], [46])",4.062,"(107.54241536383898, 83.08129802621744, 195.59108009849848, 223.45083294070503, 250.14492202512548, 71.61908968493748, 125.60207554882959, 158.8238508839305, 261.75864486754426, 269.35318850629403, 181.38244800980647, 127.90471670096667, 127.00857602005101, 241.67231102569622, 368.00590738435903, 411.8415143362598, 401.2422308765289, 420.7668916110563, 375.61551494899567, 437.8914432378791, 331.7328605161522, 305.46730084273105, 298.81896356321613, 334.1584856637402, 381.05369767494744, 399.8788928228416, 195.16181624543714, 181.24649111778234, 186.57197537909315, 469.209472139597, 462.0179909758399, 474.8589393642919, 476.1867657302323, 554.0245313717946, 533.0267557048253, 536.6302533001839, 578.133989907105, 20.15848566374018, 5.253061531550202, 49.671393451108884, 506.4397499283184, 567.5133908194869, 27.833461483633982, 54.79393834387429, 42.1197261277415, 50.20429825088627)","(211.8243372640398, 162.71845040375422, 84.57042586611166, 165.86160866215698, 149.77982907698907, 37.06241269392001, 474.5885458207438, 452.9797212206589, 225.1729947531138, 268.49940595780674, 320.32710872611034, 354.7739020714465, 358.78772282213987, 350.13852324390933, 279.82126522533144, 254.93734796782985, 192.94079209473153, 315.9980766699703, 507.63573795561047, 467.84161629550977, 398.10586713594546, 403.6728261712694, 446.6789462799154, 409.74545976428817, 419.36138834493454, 437.3659449887966, 470.0739432859741, 509.0766383053292, 596.5105910596465, 507.0057996846459, 532.3041268111252, 23.019582306868074, 49.76635885022506, 529.7612572725151, 583.8415143362598, 11.714299306815406, 14.572866899711585, 8.87554523367362, 553.9922113371653, 82.12479005926579, 110.56457439601638, 165.41407519924707, 331.92019355175836, 438.63647306318853, 314.0222470471088, 310.84160534503076)"
"([3], [3], [3], [3], [3], [4], [11], [11], [12], [12], [12], [12], [12], [12], [12], [12], [12], [12], [12], [12], [12], [12], [12], [12], [12], [12], [13], [13], [13], [17], [17], [19], [19], [20], [20], [20], [20], [20], [20], [21], [21], [21], [24], [24], [26], [26])","([13], [13], [22], [25], [25], [12], [17], [17], [2], [2], [2], [2], [2], [2], [2], [2], [27], [27], [27], [27], [28], [28], [28], [28], [28], [28], [17], [17], [17], [27], [27], [42], [42], [39], [39], [39], [39], [39], [39], [44], [44], [44], [39], [39], [39], [39])",4.082,"(107.52606002357231, 83.0871746028435, 195.58350973572732, 223.46192577219006, 250.19086986833258, 71.60815080813637, 125.39376703731091, 158.70866821254072, 261.7558208422127, 269.3253399939624, 181.38028238674002, 127.89466221767316, 127.22574119561261, 241.67847096006392, 368.01144978135096, 411.8415143362598, 401.23251929984417, 420.7549496434601, 375.59473889485827, 437.9033761003104, 331.7149339882864, 305.48602202487376, 298.83415681564486, 334.1584856637402, 381.0557879760605, 399.8674058599813, 195.14840690940548, 181.2496786881697, 186.58215079772197, 469.2008074609398, 462.01930714986804, 474.86924095472637, 476.1916127723009, 554.0234647891075, 533.0217311426919, 536.6234618814643, 578.13629775658, 20.15848566374018, 5.265971264726318, 49.43353811176519, 506.4303006937736, 567.504057193066, 27.84462698163418, 54.78895089806019, 42.10760521796294, 50.2136964647691)","(211.80541160694975, 162.72092732701083, 84.56716482005695, 165.85907096972585, 149.78422283496957, 37.06593746249723, 474.82572796997, 453.03767717377525, 225.16634625704148, 268.4723128151669, 320.32164777045324, 354.80084168129457, 357.83035809130996, 350.13882485038886, 279.8292232916388, 255.01849011620163, 192.93814923448457, 315.9940352751825, 507.62311934023376, 467.8416176603365, 398.05768330746207, 403.6540742620224, 446.6941442731544, 409.8288377397076, 419.36809530982396, 437.3707717514376, 470.0707498389262, 509.0627047093112, 596.5273226311712, 507.00701807964253, 532.2868562230872, 23.00928830436328, 49.78142146331072, 529.7461146698079, 583.8415143362598, 11.704863661174613, 14.578632362550024, 8.883586293495796, 553.9879733475526, 82.43877036679132, 110.57788352982516, 165.39870775028163, 331.91715502858534, 438.6535616926011, 314.03436795688737, 310.84160427010556)"
"([3], [3], [3], [3], [3], [4], [11], [11], [12], [12], [12], [12], [12], [12], [12], [12], [12], [12], [12], [12], [12], [12], [12], [12], [13], [13], [13], [17], [17], [21], [21], [22], [22], [22], [22], [22], [22], [23], [23], [23], [26], [26], [28], [28])","([18], [18], [27], [28], [28], [13], [24], [24], [2], [2], [2], [2], [2], [2], [29], [29], [29], [29], [30], [30], [30], [30], [30], [30], [24], [24], [24], [29], [29], [45], [45], [41], [41], [41], [41], [41], [41], [46], [46], [46], [41], [41], [41], [41])",4.102,"(107.5097760490396, 83.09288067404538, 195.57587891015305, 223.47298902364224, 250.18521406872196, 71.59699103866427, 125.39861213485585, 158.71145808964002, 261.7529879648182, 269.2972437904959, 181.37818312933047, 241.68474914833484, 368.0169930333734, 411.8415143362598, 401.22300267993455, 420.7430018855405, 375.5738422844009, 437.9186204879835, 331.6964042542746, 305.4954813034178, 298.84910647678316, 334.1584856637402, 381.05784075696783, 399.78747412631515, 195.13492934827423, 181.25283730709504, 186.59232580022183, 469.1921876322193, 462.0205763502961, 474.87662740460223, 476.19647099216, 554.0224098457136, 533.0167562613926, 536.6167079369802, 578.1385731513415, 20.15848566374018, 5.278910470710116, 49.430040976209966, 506.4207830726763, 567.4946789590862, 27.855694134689884, 54.755999263526405, 42.09517457055165, 50.22325174468608)","(211.7865685310465, 162.72333238379184, 84.56387772875303, 165.85654004427982, 149.78732028254618, 37.06953340799339, 474.8268412389933, 453.0448248780283, 225.15967692089208, 268.4449786998255, 320.3163541661306, 350.13912896178, 279.8371825856439, 255.11515484700203, 192.93552841003793, 315.9899918251588, 507.61042750335776, 467.84512271791175, 398.0078899385952, 403.64054808377745, 446.7090985990942, 409.9113724906189, 419.3746818869371, 437.25653832595003, 470.0675401440012, 509.04889766672613, 596.5440535184498, 507.00823016800723, 532.2697921663647, 22.99747705089021, 49.79651881237123, 529.73113731373, 583.8415143362598, 11.695480080296761, 14.5843167471171, 8.891532411461299, 553.9837256826471, 82.42971840369515, 110.59128898527507, 165.38326685672376, 331.91414326851714, 438.6592781989008, 314.04679860429866, 310.84160317721586)"
"([3], [3], [3], [3], [3], [4], [10], [10], [12], [12], [12], [12], [12], [12], [12], [12], [12], [12], [12], [12], [12], [12], [12], [12], [13], [13], [13], [17], [17], [21], [21], [22], [22], [22], [22], [22], [22], [23], [23], [23], [26], [26], [28], [28])","([13], [13], [22], [23], [23], [12], [17], [17], [2], [2], [2], [2], [2], [2], [26], [26], [26], [26], [27], [27], [27], [27], [27], [27], [17], [17], [17], [26], [26], [39], [39], [36], [36], [36], [36], [36], [36], [40], [40], [40], [36], [36], [36], [36])",4.122,"(107.4935638882634, 83.09841794599953, 195.56818774269573, 223.484023256996, 250.17975942945958, 71.58557026522558, 125.4033713221911, 158.7142808065434, 261.7501466330753, 269.26890923439805, 181.15474081779416, 241.74939420303696, 368.0225370424189, 411.8415143362598, 401.2136267977892, 420.7310494977811, 375.55282688718296, 437.930664806786, 331.65953010361363, 305.5128358108363, 298.8638137754251, 334.1584856637402, 381.0598565125739, 399.77733400307227, 195.12138557471405, 181.25596705509503, 186.60250063957346, 469.18361274360393, 462.02186779141925, 475.0241820130967, 476.20134013502786, 554.0213663070247, 533.011781033389, 536.6099909151718, 578.1408162213534, 20.15848566374018, 5.291878659644794, 49.42658153674654, 506.4816580480019, 567.4852566781475, 27.834434230633292, 54.759695418199044, 42.08243935989378, 50.23289802384784)","(211.76780855476136, 162.725666293235, 84.56056464428784, 165.85401575726587, 149.79032177025883, 37.07350213943448, 474.8279347682337, 453.0520567183197, 225.15298768098978, 268.4174126969865, 320.5328620229034, 350.0415182580433, 279.84514296662286, 255.21224063274877, 192.93297820818287, 315.9859468805194, 507.59766351974815, 467.84516852891295, 397.9606882856979, 403.6230073275134, 446.72381048691227, 409.99283914715147, 419.3811496642305, 437.26258919360725, 470.0643146805188, 509.03521682553026, 596.5607841374616, 507.00943593706097, 532.252835153407, 23.090694829066592, 49.811650002155375, 529.7163218737569, 583.8415143362598, 11.68614779787356, 14.589920378089232, 8.899383690020386, 553.9794685032577, 82.4207640129192, 110.64045722628128, 165.36775344157996, 331.83859236900145, 438.67908952050914, 314.0595338149565, 310.841602073918)"
"([3], [3], [3], [3], [3], [4], [9], [9], [12], [12], [12], [12], [12], [12], [12], [12], [12], [12], [12], [12], [12], [12], [12], [12], [13], [13], [13], [17], [17], [21], [21], [22], [22], [22], [22], [22], [22], [23], [23], [23], [26], [26], [28], [28])","([21], [21], [30], [31], [31], [16], [26], [26], [2], [2], [2], [2], [2], [2], [35], [35], [35], [35], [36], [36], [36], [36], [36], [36], [26], [26], [26], [35], [35], [45], [45], [42], [42], [42], [42], [42], [42], [46], [46], [46], [42], [42], [42], [42])",4.142,"(107.47742398880627, 83.10378810471715, 195.5604363774607, 223.49502901894772, 250.1848198195167, 71.57397407276406, 125.40804553166015, 158.71713535353433, 261.74729723801636, 269.24034578967894, 181.15326810106563, 241.75484450830788, 368.0280817017058, 411.8415143362598, 401.29147962885247, 420.7190934253315, 375.53169449883245, 437.9427577159189, 331.6190858933621, 305.5296770945328, 298.8782799269951, 334.1584856637402, 381.06183573513584, 399.7669860368756, 195.10777755511248, 181.2590680096667, 186.6126755513821, 469.1750828895025, 462.0231474298412, 475.02614665375825, 476.20644896837484, 554.0203339404328, 533.0068603331227, 536.6033102769671, 577.7175182592341, 20.15848566374018, 5.304875320895803, 49.42318454828194, 506.47345193218484, 567.4757905498908, 27.846872150581135, 54.48861545885461, 42.069404704522526, 50.24264693496934)","(211.74913219599335, 162.72792976597867, 84.55722562873706, 165.8514979836171, 149.79350448910228, 37.07723299400482, 474.8290087719174, 453.05937010774187, 225.14627945792756, 268.38962401395577, 320.5263121527292, 350.04291205289167, 279.8531042812526, 255.30972351539754, 192.84688787292959, 315.9819006889017, 507.5848284800037, 467.84521452472916, 397.91384725093684, 403.6059853028964, 446.73828115241236, 410.07667321370343, 419.3875002211663, 437.26876408640464, 470.0610739167762, 509.02166184696625, 596.5775148756154, 507.0106353735282, 532.2360331134897, 23.07703796340695, 49.82752615222887, 529.7016650474881, 583.8415143362598, 11.676866064946125, 14.577608221664264, 8.907140233092832, 553.9752019770152, 82.41197126990582, 110.65385918938674, 165.35216184257416, 331.83776925629184, 438.59472501655955, 314.0725684703278, 310.8416009588816)"
"([3], [3], [3], [3], [3], [4], [9], [9], [10], [10], [10], [10], [10], [10], [10], [10], [10], [10], [10], [10], [10], [10], [10], [10], [11], [11], [11], [15], [15], [19], [19], [20], [20], [20], [20], [20], [20], [21], [21], [21], [24], [24], [26], [26])","([13], [13], [23], [24], [24], [12], [20], [20], [2], [2], [2], [2], [2], [2], [26], [26], [26], [26], [27], [27], [27], [27], [27], [27], [20], [20], [20], [26], [26], [41], [41], [38], [38], [38], [38], [38], [38], [42], [42], [42], [38], [38], [38], [38])",4.162,"(107.46135679768184, 83.10103934652503, 195.552624981017, 223.5060068412687, 250.1802754617413, 71.56215978444351, 125.38115870386628, 158.720020736575, 261.7444401640801, 269.2115630399648, 181.1518392246735, 241.7604040139683, 368.03362689587743, 411.8415143362598, 401.28125703648647, 420.7071346800233, 375.5104469406464, 437.95489944936264, 331.5785824943524, 305.33058947415117, 298.8925061331654, 334.1584856637402, 381.06377891420334, 399.63319596478453, 195.09410721110936, 181.26214024537597, 186.6228507541249, 469.16659816833715, 461.8654335822873, 475.02813582713713, 476.2322515111589, 554.0193125152796, 533.0019944980448, 536.5966654955936, 577.72386280286, 20.15848566374018, 5.317899923277309, 49.41981550055402, 506.4651973965099, 567.466281881533, 27.85915991477225, 54.49765832517846, 42.056075668975495, 50.25254038552737)","(211.7305399720064, 162.6747314344991, 84.55386075385269, 165.84898660168068, 149.79634206104683, 37.08103401677374, 474.8656762530792, 453.06676249955603, 225.13955315677464, 268.36162197441104, 320.51995726133555, 350.0443337733209, 279.86106636389826, 255.40757984455195, 192.84494972113362, 315.97785359273126, 507.57192349031357, 467.8452607062503, 397.86693766587734, 403.70370445171267, 446.75251179764166, 410.16195590333217, 419.3937351285191, 437.0484214556993, 470.0578183104137, 509.0082324050893, 596.594246092156, 507.0118284635694, 532.4277379741876, 23.063210562731115, 49.82636755122883, 529.6871635601885, 583.8415143362598, 11.667634149643732, 14.58397323221584, 8.914830404627764, 553.9709262782965, 82.40325084851486, 110.66734023023898, 165.33650646027013, 331.83695608054205, 438.6174823997143, 314.08589750587475, 310.8415998273134)"
"([3], [3], [3], [3], [3], [4], [9], [9], [10], [10], [10], [10], [10], [10], [10], [10], [10], [10], [10], [10], [10], [10], [10], [10], [11], [11], [11], [15], [15], [19], [19], [20], [20], [20], [20], [20], [20], [21], [21], [21], [24], [24], [26], [26])","([13], [13], [24], [25], [25], [12], [18], [18], [2], [2], [2], [2], [2], [2], [30], [30], [30], [30], [31], [31], [31], [31], [31], [31], [18], [18], [18], [30], [30], [44], [44], [41], [41], [41], [41], [41], [41], [45], [45], [45], [41], [41], [41], [41])",4.182,"(107.44536276126718, 83.10301544582529, 195.54980799462396, 223.51695724111062, 250.17499344843856, 71.55012836608165, 125.38551548010173, 158.72293597711712, 261.8506159491766, 269.1825706824385, 181.1504537721396, 241.76607157646913, 368.03917250120253, 411.8415143362598, 401.28589174378544, 420.6951742747789, 375.4890860591851, 437.96709024749384, 331.5380088214154, 305.34011865229155, 298.90649358150245, 334.1584856637402, 381.06568653655984, 399.6233676143637, 195.08037642108138, 181.0168000320345, 186.63302644940012, 469.1581586823254, 461.8665699890298, 475.0301550105045, 476.23651554228616, 554.0183018028229, 532.9971694954418, 536.5900560563764, 577.7301293994535, 20.15848566374018, 5.330951915280025, 49.416474274052234, 506.543285359832, 567.4567308414253, 27.871298766726454, 54.50641851445653, 42.04245726555416, 50.26257445965871)","(211.71203239932777, 162.6541677977051, 84.4646685018879, 165.84648149314876, 149.79906249700014, 37.08490489700728, 474.8670376311085, 453.0742313867074, 224.96646940738412, 268.3334160125064, 320.5137954964465, 350.0457831268934, 279.86902903689963, 255.50578627781636, 192.82875152539128, 315.9738059348027, 507.55894967221104, 467.8453070743909, 397.8200415288643, 403.69053766049564, 446.76650361053714, 410.2484050265538, 419.39985594818825, 437.05256011352867, 470.05454830876886, 509.319754151736, 596.610978118574, 507.0130151928107, 532.410532754214, 23.049217777572835, 49.84426824424111, 529.6728141643398, 583.8415143362598, 11.658451336904136, 14.590239828809331, 8.922421590179738, 553.9666415881503, 82.3946024394059, 110.72136239351497, 165.3207813157327, 331.83615275945897, 438.63952839450917, 314.09951590929603, 310.8415986796614)"
