n,s1,s2,t,x,y
48,"(3,)","(1,)",0.004,127.38804018345434,196.9050856829117
48,"(3,)","(1,)",0.004,88.98380111618454,146.18429595708272
48,"(9,)","(17,)",0.004,72.12172598940705,31.06963922714226
48,"(13,)","(17,)",0.004,88.5231838950607,9.375037161253658
48,"(13,)","(17,)",0.004,76.51274407519315,589.5511963964284
48,"(16,)","(18,)",0.004,122.16095655642891,473.0968342749253
48,"(16,)","(18,)",0.004,162.08224566239642,454.6646322814677
48,"(17,)","(19,)",0.004,126.52381126958065,348.6473771441151
48,"(17,)","(19,)",0.004,122.35339029745757,361.6282536502086
48,"(19,)","(1,)",0.004,198.44302956509034,90.15877846023051
48,"(20,)","(18,)",0.004,186.6065517667999,465.1520515430335
48,"(20,)","(18,)",0.004,155.57791412700232,518.4938497930647
48,"(20,)","(18,)",0.004,170.29265792663261,590.0656553456215
48,"(21,)","(19,)",0.004,168.96783090232492,328.84128374876957
48,"(21,)","(19,)",0.004,242.00204044159238,354.8058028380982
48,"(21,)","(21,)",0.004,260.48178265395813,224.42335169519743
48,"(21,)","(21,)",0.004,299.27910353491484,258.70028841887216
48,"(21,)","(21,)",0.004,372.0745894776803,266.91884974553335
48,"(21,)","(21,)",0.004,385.5441245805321,230.82762535832927
48,"(21,)","(22,)",0.004,411.00316115479916,185.43229086717565
48,"(21,)","(22,)",0.004,402.49288565109913,333.8869775033066
48,"(21,)","(22,)",0.004,369.42403098646616,413.4109318973824
48,"(21,)","(22,)",0.004,400.7621747272252,442.9301162072352
48,"(22,)","(2,)",0.004,214.4953566331754,180.3701844249631
48,"(22,)","(2,)",0.004,260.08944668716833,151.42142969216968
48,"(23,)","(22,)",0.004,443.4838329565606,468.46360564642964
48,"(23,)","(22,)",0.004,398.4149706207951,484.6093659428419
48,"(23,)","(26,)",0.004,477.1494423098396,494.728326900081
48,"(23,)","(26,)",0.004,439.78343210764524,543.7659243045357
48,"(23,)","(26,)",0.004,493.97297363932523,553.2710715164859
48,"(23,)","(26,)",0.004,497.93187808493076,543.1431987089696
48,"(25,)","(22,)",0.004,298.03238712527747,445.4549365787958
48,"(25,)","(22,)",0.004,340.2030846285162,402.34303567832944
48,"(29,)","(32,)",0.004,556.5250364533321,519.6194451933363
